# Generated by tools/dictgen — do not edit by hand.
# Language: Indonesian (id)
# Format: word|band|from|pos — what each word is. What it means is in
# gloss.<language>.txt, joined to this file on the headword.
#
# The band column is empty for any word ranks.txt ranks: the band is computed
# from the rank there. It is filled only for words the corpus never ranked.
yang|||
dan|||
di|||
ke|||
dari|||
ini|||
itu|||pron.;part.
dua-duanya|||pron.
sekali-kali|||adv.;adv.
kenang-kenangan|||n.
mengada-ada||ada|v.
mati-matian|||adv.
melebih-lebihkan||lebih|v.
kedua-duanya|||pron.
sekurang-kurangnya|||adv.
terang-terangan|||adj.;adv.
bercita-cita|||v.
mengolok-olok||olok-olok|v.
iring-iringan|||n.
orang-orangan|||n.;n.
semata-mata|||adv.
sebenarnya|||adv.;adj.
seharusnya|||adv.
sepertinya|||adv.
akhirnya|||adv.
sebaiknya|||adv.
tampaknya|||adv.
setidaknya|||adv.
selamanya|||adv.
harusnya|||adv.
biasanya|||adv.
selanjutnya|||adv.
bukannya|||conj.
keduanya|||pron.
sayangnya|||adv.
rupanya|||adv.
memangnya|||adv.
sebaliknya|||adv.;adv.
tepatnya|||adv.
misalnya|||adv.
mestinya|||adv.
semestinya|||adv.
kelihatannya|||adv.
kedengarannya|||adv.
nampaknya|||adv.
kayaknya|||adv.
agaknya|||adv.
menangani||tangan|v.
pencarian||cari|n.
pencari||cari|n.
kekasih||kasih|n.
kupunya||punya|v.
pelajari||ajar|v.
terapi|||n.
kemari||mari|adv.
kelab|||n.
kebagian||bagian|v.
kerak|||n.
merak|||n.
berak|||v.
ketahanan||tahan|n.
tebus|||v.
mewah|||adj.
koki|||n.
sepak|||v.
bantah|||v.
benak|||n.
tetas|||v.
petasan|||n.
pendam|||v.
pejam|||v.
teduh|||adj.
sedan|||n.
dahan|||n.
penyok|||adj.
kebiri|||v.
kebab|||n.
serasi|||adj.
kupas|||v.
kuras|||v.
kubang|||v.
upil|||n.
urap|||v.
kupon|||n.
kubis|||n.
kubus|||n.
kuala|||n.
kumal|||adj.
termal|||adj.
bertanya-tanya||bertanya|v.
bermain-main||bermain|v.
berjalan-jalan||berjalan|v.
berputar-putar||berputar|v.
segala-galanya||segala|n.
berubah-ubah||berubah|adj.
berapi-api||berapi|adj.
menari||tari|v.
mil|||n.
bermil||mil|
pelat|||n.
oranye|||
jingga|||
merah muda|||
guntur|||
syal|||
kaus kaki|||
kaos kaki|||
ikat pinggang|||
jam tangan|||
resleting|||
ritsleting|||
lengket|||
mentimun|||
timun|||
terong|||
terung|||
jahe|||
bawang putih|||
lafal|||
azab|||
pandemi|||
saw|||
hey|||interj.
musyrik|||
bertakwa|||v.
yah|||interj.
video|||
rezeki|||
barangsiapa|||
berfirman||firman|v.
zalim|||adj.
tatkala|||
fosil|||
finansial|||
munafik|||n.;adj.
qiraat|||
paket|||
firman|||
kalangan|||
bahwasanya|||
hayati|||adj.
fiskal|||
dirilis||rilis|v.
genus|||
keanekaragaman||ragam|
jamak|||n.;adj.
komponen|||
mukjizat|||
stainless|||
khabar|||
ekosistem|||
produktivitas|||
opsi|||
regional|||
set|||
institusi|||
subsidi|||
serial|||
corona|||
zakat|||
donor|||
bin|||
kekufuran|||
filter|||
volume|||
maksiat|||
mekanisme|||
sebahagian|||
syariat|||
lockdown|||
link|||
debut|||
katup|||
globalisasi|||
inklusif|||
ekonom|||
obligasi|||
vaksinasi|||
lalim|||
suplemen|||
bertasbih|||v.
bar|||
sirip|||
merujuk||rujuk|v.
manufaktur|||
multilateral|||
output|||
mitigasi|||
durhaka|||adj.
indikator|||
kolera|||
hadis|||
mengazab||azab|v.
garansi|||
halal|||
batil|||adj.
format|||
anime|||
pesat|||adj.
korosi|||
fasik|||adj.
syaitan|||
item|||
ketidakpastian||pasti|
merilis||rilis|v.
keesaan|||
lokomotif|||
demokratis|||
drive|||
seringkali||sering|adv.
opsional|||
syafaat|||
kebatilan||batil|
anti|||
tembaga|||
akurat|||
single|||
independen|||
komprehensif|||
polio|||
hidrogen|||
ton|||
kemakmuran|||
migran|||
sekrup|||
integrasi|||
stimulus|||
rilis|||
famili|||
port|||
resistensi|||
bahtera|||
blog|||
kian|||adv.
konservasi|||
sanitasi|||
surah|||
rujukan|||
manga|||
operator|||
kebajikan|||
slot|||
membran|||
proteksionisme|||
hosting|||
kemusyrikan||musyrik|
takhta|||
defisit|||
medan|||
konektor|||
otoriter|||
cadang|||adj.
berhijrah|||v.
dahsyat|||adj.
musibah|||
sertifikasi|||
staf|||
ihwal|||
kerjasama|||
konsensus|||
testosteron|||
universal|||
bingkai|||
list|||
kezaliman||zalim|
audio|||
kolaborasi|||
genre|||
pin|||
hakikat|||
konfigurasi|||
mendurhakai||durhaka|v.
kromosom|||
mesh|||
akuntabilitas|||
imunisasi|||
kreditor|||
grafik|||
dakwah|||
hidayah|||
menafkahkan||nafkah|v.
diabetes|||
survei|||
input|||
akurasi|||
asa|||
berselisih|||v.
transparansi|||
kikir|||adj.;n.
chip|||
kiblat|||
tauhid|||
kustom|||
sahaya|||
seumpama|||
diet|||
semi|||
politis|||
populis|||
tautan|||
keridaan|||
riba|||
farmasi|||
memitigasi||mitigasi|v.
pemangku|||
ultrasonik|||
real|||
biak|||v.
kemaksiatan||maksiat|
khamar|||
las|||
inspeksi|||
inflasi|||
narasi|||
singel|||
kontrasepsi|||
menandatangani||tanda tangan|v.
merespons|||v.
sejarawan||sejarah|
bit|||
tips|||
deposit|||
mani|||
tag|||
pengentasan|||
idah|||
efektivitas|||
ketimpangan|||
genom|||
kalbu|||
geopolitik|||
arbitrase|||
menzalimi||zalim|v.
beton|||
jurnalisme|||
solidaritas|||
kemunafikan||munafik|
rahim|||
aksara|||
template|||
tabel|||
drastis|||
kit|||
tank|||
strip|||
konstan|||adj.
hemoglobin|||
ibukota|||
token|||
domain|||
hisab|||
malapetaka|||
sangkakala|||
syirik|||
duri|||
intelektual|||
populisme|||
galvanis|||
golf|||
kajian|||n.
bertawakal|||v.
roller|||
varian|||
kadar|||
kompatibel|||
bilateral|||
dinamika|||
teka-teki|||
premium|||
mengukuhkan||kukuh|v.
kuantitas|||
talak|||
smartphone|||
browser|||
inklusi|||
pakar|||
fakir|||
historis|||
ketidakstabilan||stabil|n.
perselisihan||selisih|n.
rem|||
argumentasi|||
biofuel|||
mengalokasikan||alokasi|v.
mobilitas|||
neraca|||
persepsi|||
via|||
sepur|||
aksesori|||
diversifikasi|||
mikro|||
wisatawan||wisata|n.
amanat|||
memperolok-olokkan|||v.
taubat|||
horizontal|||
catu|||
algoritma|||
subtitle|||
ekologi|||
kontemporer|||
musyrikin|||
naungan|||n.
tatanan||tata|n.
disk|||
resin|||
kemudaratan||mudarat|n.
risalah|||
riil|||adj.
rol|||
purna|||
medali|||
menonjol|||v.
dekarbonisasi|||
industrialisasi|||
likuiditas|||
natrium|||
siber|||
wewenang|||
trading|||
remote|||
diesel|||
pranala|||
berargumentasi||argumentasi|v.
bias|||
degradasi|||
kepailitan|||n.
lithium|||
nasionalis|||
regulator|||
sistemis|||
urbanisasi|||
default|||
dengki|||adj.
grosir|||
kufur|||
menjerumuskan|||v.
download|||
sakelar|||
ketidakadilan||adil|n.
malnutrisi|||
pupuk|||
bertaubat||taubat|v.
kisas|||
mudarat|||
perselisihkan||selisih|v.
tepung|||
setoran|||n.
otomotif|||
bertawakkal|||v.
jahiliah|||
memobilisasi||mobilisasi|v.
tembakau|||
reseptor|||
endemik|||
kolonial|||
kuarsa|||
teorema|||
sentimeter|||
fitrah|||
ketakwaan||takwa|n.
nafkahkan|||v.
dialokasikan||alokasi|v.
pra-industri|||
glukosa|||
aus|||adj.
kognitif|||
outdoor|||
servo|||
slide|||
kendati|||
mahar|||
sunah|||
legislatif|||
optimal|||
anabolik|||
anjlok|||v.
deforestasi|||
digitalisasi|||
nasionalisme|||
pariwisata|||
psikolog|||
driver|||
plugin|||
akidah|||
fleksibilitas|||
folder|||
bass|||
alokasi|||
kapita|||
liberalisasi|||
polarisasi|||
responden|||
terorisme|||
grade|||
tekstil|||
berzikir||zikir|v.
melata|||v.
mungkar|||
drum|||
elektroda|||
gel|||
ilahi|||
kompresor|||
obesitas|||
palet|||
stylist|||
utilitas|||
wafat|||
basa|||
vena|||
angan-angan|||
ghaib|||
advokasi|||
konektivitas|||
subspesies|||
digit|||
partisi|||
ibunda||ibu|n.
radar|||
desktop|||
gram|||
kontainer|||
torsi|||
timah|||
hujah|||
kemahakuasaan||kuasa|n.
kesyirikan||syirik|n.
takwa|||
akrilik|||
multi|||
insulasi|||
komposit|||
fungsional|||
imigran|||
lansia|||
elo|||pron.
cookie|||
kemaslahatan||maslahat|n.
ekspansi|||
tekstur|||
deformasi|||
solid|||
afiliasi|||
blockchain|||
imunitas|||
ketidaksetaraan||setara|n.
minor|||
realistis|||
restrukturisasi|||
performa|||
tungsten|||
magnetik|||
adaptor|||
lift|||
ekstensi|||
ekstrusi|||
kompleksitas|||
rekayasa|||
geografis|||
monopoli|||
shell|||
formasi|||
klip|||
foil|||
host|||
alel|||
autisme|||
spesimen|||
wesel|||
tutorial|||
inch|||
haid|||
mengesakan|||v.
sanggahan|||
segumpal|||
sembahyang|||
takaran|||
demografi|||
disinformasi|||
kewirausahaan||wirausaha|n.
makroekonomi|||
nihil|||
poliester|||
primer|||
komedi|||
syaraf|||
ekonomis|||
flash|||
diridai|||v.
maskawin|||
peribadatan||ibadat|n.
elastis|||
potensial|||
cover|||
interupsi|||
ketidakpuasan||puas|n.
penyuntingan|||
pneumonia|||
sejawat|||
surplus|||
administratif|||
router|||
antioksidan|||
dekoratif|||
non|||
aurat|||
pot|||
ekspektasi|||
influenza|||
mengentaskan|||v.
mobilisasi|||
referendum|||
selisih|||
supremasi|||
tuberkulosis|||
kapiler|||
konsultasi|||
kuantum|||
polimer|||
bilamana|||
pneumatik|||
tab|||
piranti|||
interaktif|||
audiens|||
familia|||
hit|||
berkesinambungan|||
koperasi|||
legitimasi|||
makmur|||
marginal|||
multilateralisme|||
nirlaba|||
preferensi|||
sisik|||
fosfat|||
kemudharatan||mudarat|n.
laknat|||
maslahat|||
notasi|||
syafa'at|||
terjerumus|||v.
kolesterol|||
relawan|||
serbuk|||
sterilisasi|||
transformator|||
loop|||
dubur|||
sen|||
soket|||
batch|||
solder|||
murtad|||
eksportir|||
fundamental|||
genetis|||
implementasi|||
komputasi|||
pencaharian|||
telekomunikasi|||
asteroid|||
navigasi|||
nilon|||
boiler|||
estrogen|||
sintesis|||
induksi|||
piksel|||
teologi|||
cerpelai|||
herbal|||
kumparan|||
transkripsi|||
bahagian|||
bingo|||
keridhaan|||
perniagaan|||
disambiguasi|||
rum|||
bercak|||
flensa|||
laman|||
login|||
maskapai|||
disabilitas|||
kedaulatan|||
masal|||
rating|||
retorika|||
startup|||
muara|||
korteks|||
wasit|||
bagai|||
ihram|||
orbital|||
sensitivitas|||
sutera|||
tenteram|||
pangkal|||
kapas|||
oksida|||
akademisi|||
cula|||
ekologis|||
fintech|||
ketidakmampuan||mampu|n.
konduktor|||
penggundulan|||
penyandang|||
portal|||
portofolio|||
substrat|||
update|||
fitting|||
jazz|||
nonaktif|||
desimal|||
kontras|||
analog|||
andaikata|||
berangsur-angsur|||
bersabda||sabda|v.
kafarat|||
karib|||
musafir|||
otomatisasi|||
takabur|||
outlet|||
cakram|||
koral|||
mengoptimalkan||optimal|v.
finishing|||
cekungan|||
frame|||
inverter|||
rahang|||
trader|||
ditandatangani|||v.
hidrokarbon|||
kolaboratif|||
memupuk||pupuk|v.
menyokong|||v.
mikroskop|||
moratorium|||
net-zero|||
ozon|||
proaktif|||
proporsi|||
transit|||
ilustrasi|||
sensus|||
kedengkian||dengki|n.
distributor|||
mouse|||
pengecoran||cor|n.
ujar|||
casing|||
cor|||
debit|||
obyek|||
blower|||
subtropis|||
casting|||
log|||
mixer|||
oksidasi|||
piston|||
watt|||
antimikroba|||
budi|||
gamis|||
khusyuk|||
mengkaji|||v.
multinasional|||
sosio-ekonomi|||
bea|||
ritel|||
artileri|||
meditasi|||
nizam|||
pinyin|||
stamping|||
wol|||
yak|||
anarkis|||
kalium|||
kripto|||
otonom|||
amino|||
karbida|||
individual|||
admin|||
katalog|||
menisbatkan|||v.
pelbagai|||
pertanggungjawaban|||
punca|||
putera|||
revolusioner|||
rukuk|||
seleksi|||
tabiat|||
revisi|||
aspirasi|||
epidemiologi|||
inovator|||
integritas|||
renminbi|||
ventilator|||
ventura|||
estetika|||
katun|||
konduktivitas|||
kurikulum|||
simetri|||
gumpalan|||
itik|||
otonomi|||
bergelimang|||v.
gradien|||
hijrah|||
nukleus|||
plot|||
samawi|||
valid|||
konveyor|||
pigmen|||
ring|||
teritorial|||
laminasi|||
proteksi|||
doktrin|||
dealer|||
aditif|||
alkali|||
balita|||
elektromagnetik|||
fluktuasi|||
holistik|||
impunitas|||
irigasi|||
kesiapsiagaan|||
mengikis|||v.
menyasar|||v.
molekuler|||
non-pemerintah|||
origami|||
promo|||
simulator|||
vital|||
linier|||
penyunting|||
koefisien|||
tangkai|||
boom|||
ester|||
integral|||
jejaring|||
upgrade|||
mentauhidkan||tauhid|v.
merta|||
patch|||
tawaf|||
cendekiawan|||
kanon|||
speaker|||
track|||
komposer|||
monarki|||
vokalis|||
serbaguna|||
mol|||
nano|||
ranjang|||
akademis|||
akuifer|||
asesmen|||
dividen|||
eksplisit|||
garmen|||
insektisida|||
ketidakseimbangan|||
kewarganegaraan|||
konkret|||
kurun|||
moderat|||
regulasi|||
serpih|||
telemedis|||
transformatif|||
dibudidayakan||budidaya|v.
offline|||
spot|||
adakala|||
fregat|||
khatimah|||
kompatibilitas|||
oksitosin|||
rasisme|||
retensi|||
silih|||
syahwat|||
umpama|||
uzur|||
zaqqum|||
penutur|||
dot|||
representasi|||
kalibrasi|||
drop|||
horisontal|||
modular|||
paradigma|||
probe|||
sukarelawan|||
elastisitas|||
excavator|||
kronik|||
peptida|||
string|||
troll|||
berkonsultasi||konsultasi|v.
drainase|||
saklar|||
feminis|||
keausan||aus|n.
kunang-kunang|||
linear|||
modis|||
analis|||
autokrasi|||
becak|||
e-commerce|||
fiberglass|||
kredibel|||
melipatgandakan|||v.
menanggulangi|||v.
nominal|||
partisan|||
strain|||
urgensi|||
wirausaha|||
balatentara|||
bertelekan|||v.
gulita|||
hujjah|||
makruf|||
menginfakkan||infak|v.
mensucikan||suci|v.
perkeretaapian|||
tasbih|||
dopamin|||
interval|||
manusiawi|||
rig|||
ateis|||
bot|||
bubut|||
pound|||
duo|||
frasa|||
hidraulik|||
laba|||
torium|||
polinomial|||
spontan|||
bodi|||
pemukim|||
rubel|||
wallpaper|||
vegetasi|||
takson|||
kapasitor|||
kerap|||
berinfak||infak|v.
ganimah|||
kerongkongan|||
linguistik|||
ma'ruf|||
mitosis|||
muslihat|||
nanah|||
paceklik|||
probiotik|||
roboh|||
rujuk|||
tamsil|||
trem|||
dilantik|||v.
gitaris|||
analogi|||
cermat|||
ekuitas|||
men-download|||
modernisasi|||
otoritarianisme|||
penanggulangan|||
polutan|||
profit|||
proporsional|||
ranah|||
resistan|||
responsif|||
tsunami|||
kotamadya|||
dipoles|||v.
fragmen|||
mikrofon|||
controller|||
surgawi|||
tong|||
hikmat|||
pascasarjana|||
akustik|||
entropi|||
multifungsi|||
viskositas|||
budidaya|||
konsistensi|||
asupan|||
dioptimalkan||optimal|v.
relasi|||
subfamili|||
filtrasi|||
mazhab|||
perkembangbiakan|||
alim|||
dihisab||hisab|v.
disitir|||v.
fana|||
fardu|||
grid|||
intuitif|||
invertebrata|||
kusam|||
mentaati||taat|v.
menyeleweng|||v.
mudharat|||
ria|||
riya|||
sedimen|||
takwil|||
terhampar|||v.
watak|||
e-mail|||
kuliner|||
kustomisasi|||
penetrasi|||
rotor|||
bandwidth|||
topologi|||
bakau|||
intens|||
mur|||
ubur-ubur|||
cicilan|||
diskriminatif|||
erosi|||
kakao|||
median|||
melanggengkan||langgeng|v.
meratifikasi||ratifikasi|v.
miliarder|||
pangsa|||
rangkap|||
sosioekonomi|||
soundtrack|||
stigma|||
ujaran|||
unilateral|||
zoonosis|||
amfibi|||
asetat|||
bug|||
eksterior|||
esensial|||
serotonin|||
akord|||
aktivasi|||
grafit|||
nanopartikel|||
abrasi|||
konverter|||
lotere|||
margin|||
ultraviolet|||
troli|||
buhul|||
korosif|||
sinkronisasi|||
bejana|||
bergelimpangan|||v.
dahaga|||
dalil|||
jizyah|||
kemahaesaan|||
kemungkaran||mungkar|n.
paroki|||
silaturahmi|||
takjub|||
busana|||
event|||
lateral|||
miselium|||
pankreas|||
plasebo|||
proto|||
spektakuler|||
fungsionalitas|||
kompilasi|||
anarkisme|||
boot|||
masinis|||
asih|||
embrio|||
roulette|||
transgender|||
manuskrip|||
akson|||
ideologis|||
kreasi|||
krusial|||
kuantitatif|||
literasi|||
menonaktifkan||nonaktif|v.
pascapandemi|||
widget|||
pad|||
permukiman|||
pitch|||
braket|||
draft|||
gamer|||
glasier|||
welas|||
bakhil|||
belukar|||
berniaga|||v.
botani|||
cemoohan|||
hamparan|||
ketidaknyamanan||nyaman|n.
memahasucikan|||v.
pamanda||paman|n.
rajam|||
sabda|||
slip|||
barcode|||
lokakarya|||
neon|||
tekstual|||
detil|||
garnisun|||
indera|||
jeda|||
kalkulator|||
mentor|||
periodik|||
respirasi|||
akumulasi|||
ulir|||
bagan|||
berduri||duri|adj.
cache|||
insang|||
jasmani|||
klorida|||
blogger|||
inventor|||
makeup|||
reruntuhan||runtuh|n.
anyaman|||
kolagen|||
metalurgi|||
rental|||
selektif|||
sosialisme|||
knot|||
hardware|||
denominasi|||
absolut|||
akuntabel|||
albedo|||
basal|||
bruto|||
devisa|||
direkayasa||rekayasa|v.
eksternalitas|||
elektrifikasi|||
estimasi|||
filantropis|||
gambut|||
imbal|||
ketidakpedulian||peduli|n.
kiat|||
memutarbalikkan|||v.
merealisasikan||realisasi|v.
negosiator|||
nozzle|||
perekayasaan||rekayasa|n.
pergolakan|||
sengit|||
terdesentralisasi|||
bermukim|||v.
bulir|||
inang|||
muram|||
pengukuhan||kukuh|n.
sahih|||
ubun-ubun|||
wafatkan||wafat|v.
binaragawan|||
disfungsi|||
hub|||
kardiovaskular|||
kodeks|||
veneer|||
wihara|||
medium|||
yard|||
biosfer|||
jambul|||
kelambu|||
tenun|||
yen|||
finis|||
lumut|||
relaksasi|||
antigen|||
bon|||
dedaunan||daun|n.
inhibitor|||
kubik|||
kultur|||
ente|||pron.
opioid|||
serba|||
alumina|||
freezer|||
impedansi|||
mikron|||
sawit|||
semikonduktor|||
gawat|||
trend|||
uranium|||
backup|||
bermunajat|||v.
delima|||
fonemis|||
gamblang|||
ikrar|||
jua|||
ketenteraman||tenteram|n.
krustasea|||
manakala|||
mengemban|||v.
menghisab||hisab|v.
menuturkan||tutur|v.
menyanggah||sanggah|v.
morfologi|||
sekonyong-konyong|||
sukatan|||
sulfat|||
syahid|||
tarikh|||
tiran|||
fagosit|||
fotosintesis|||
gandar|||
jilid|||
mencantumkan|||v.
merangkum|||v.
molibdenum|||
nosel|||
prasarana|||
agregat|||
artemisinin|||
bioenergi|||
bioteknologi|||
blister|||
difabel|||
implikasi|||
makro|||
mapan|||
menstimulasi||stimulasi|v.
merombak|||v.
notifikasi|||
otomasi|||
penyintas|||
pertikaian|||
pragmatis|||
sektarian|||
urgen|||
xenofobia|||
anumerta|||
formulasi|||
lipid|||
wiper|||
antibakteri|||
gerinda|||
kalkulus|||
kartrid|||
bening|||
klem|||
microwave|||
multimedia|||
pucuk|||
sentrifugal|||
charger|||
diagonal|||
ekstrover|||
estat|||
visibilitas|||
diilustrasikan||ilustrasi|v.
foton|||
moluska|||
skrip|||
gadget|||
radial|||
redaksi|||
sekuler|||
servis|||
surut|||
teledu|||
abrasif|||
antusias|||
blackjack|||
terpal|||
krom|||
legendaris|||
manifestasi|||
asar|||
azali|||
balig|||
fabrikasi|||
fatwa|||
fluida|||
forklift|||
infak|||
jannah|||
masam|||
memakmurkan||makmur|v.
memungkiri|||v.
mencerca|||v.
menggugah|||v.
musyawarah|||
pengecer|||
prostat|||
sosiologi|||
sulbi|||
tenunan||tenun|n.
umrah|||
zihar|||
zikir|||
pulp|||
aorta|||
dara|||
dispenser|||
klorin|||
matematikawan|||
mencengangkan|||v.
panggul|||
liner|||
peladen|||
presenter|||
autokrat|||
bioetika|||
deregulasi|||
divestasi|||
franc|||
independensi|||
institusional|||
kas|||
keikutsertaan|||
konsesi|||
langgeng|||
libido|||
lonjong|||
mendiversifikasi||diversifikasi|v.
misinformasi|||
netralitas|||
optimisme|||
pluralisme|||
prakarsa|||
profitabilitas|||
stagnan|||
teknokrat|||
termarginalisasi|||
transatlantik|||
conveyor|||
komunisme|||
tusam|||
dituturkan||tutur|v.
ergonomis|||
pionir|||
ensiklopedia|||
evolusioner|||
handal|||
komuter|||
konduktif|||
rambu|||
relief|||
superior|||
traksi|||
trotoar|||
waduk|||
epidural|||
filosofis|||
glikolisis|||
headset|||
karbondioksida|||
kisi|||
spindle|||
thriller|||
transpor|||
voltase|||
laguna|||
bundel|||
inkjet|||
kandil|||
konstitusional|||
oktaf|||
carrier|||
introver|||
androgenik|||
anterior|||
beribadat||ibadat|v.
berikrar||ikrar|v.
chat|||
faedah|||
iddah|||
kenistaan|||
konsonan|||
mayang|||
merajam||rajam|v.
olok-olokan|||
feed|||
spanduk|||
tweet|||
ultrasound|||
bijih|||
binomial|||
etanol|||
ribulosa|||
riuh|||
subyek|||
suntingan|||
angiogenesis|||
feminisme|||
gletser|||
gurita|||
iritasi|||
jackpot|||
sejarahwan||sejarah|n.
tangkis|||
komentator|||
pala|||
ranting|||
androgen|||
berdaulat|||adj.
elektrolit|||
inventaris|||
konstanta|||
kromium|||
pulmoner|||
reflektif|||
sasis|||
sisipan|||
teolog|||
volt|||
amplitudo|||
baginda|||
diferensial|||
epoksi|||
gearbox|||
kelembapan|||
sekte|||
vendor|||
viral|||
agrokimia|||
anemia|||
asimetris|||
biomassa|||
desalinasi|||
diplomatis|||
ekstremis|||
ekstremisme|||
filantropi|||
fotovoltaik|||
hengkang|||
intensifikasi|||
kartel|||
koheren|||
kontributor|||
kuota|||
lok|||
mengusung|||v.
merekayasa||rekayasa|v.
mutakhir|||
patriarki|||
preventif|||
rami|||
redistribusi|||
reformis|||
serviks|||
sirkular|||
stagnasi|||
standarisasi|||
alfa|||
counter|||
ekstensif|||
kimiawi|||
melatonin|||
numerik|||
optimasi|||
resistor|||
ribosom|||
simetris|||
sinapsis|||
sol|||
tembikar|||
gerejawi|||
kontinu|||
baseball|||
corak|||
distorsi|||
emulator|||
hepatitis|||
kedidi|||
rapper|||
antisemitisme|||
bah|||
bathil|||
bermusyawarah||musyawarah|v.
dioda|||
diperselisihkan||selisih|v.
dipersonalisasi|||
diwafatkan||wafat|v.
diyat|||
goncangan|||
hujatan|||
magma|||
manna|||
menaungi|||v.
menghardik||hardik|v.
menyandangkan|||v.
mihrab|||
penangkaran|||
ridha|||
shower|||
tutur|||
volatilitas|||
dasawarsa|||
destinasi|||
fluks|||
grafiti|||
hopper|||
kreatifitas|||
mungil|||
pipit|||
polietilen|||
transduser|||
visualisasi|||
aksial|||
berafiliasi||afiliasi|v.
fosfor|||
kilo|||
mujizat|||
termometer|||
aktifitas|||
bereplikasi|||v.
kaligrafi|||
limit|||
logaritma|||
matte|||
ornamen|||
protagonis|||
rotavirus|||
termodinamika|||
wacana|||
abjad|||
basisdata|||
engsel|||
gasket|||
induktor|||
kondensasi|||
pori-pori|||
sinetron|||
astronom|||
baya|||
bertanggungjawab|||
mantera|||
mustard|||
spiritualitas|||
hipertensi|||
lajur|||
panji|||
ragi|||
rusun|||
serpihan||serpih|n.
bertajuk||tajuk|v.
dispersi|||
gelanggang|||
liturgi|||
majemuk|||
mezbah|||
offset|||
penampang|||
relay|||
sabana|||
stereo|||
stimulasi|||
defisiensi|||
desinfeksi|||
genset|||
sablon|||
trial|||
bifosfat|||
binti|||
dendrit|||
lap|||
multi-fungsi|||
piruvat|||
retikulum|||
adibusana|||
automasi|||
deflasi|||
destruktif|||
dikucurkan|||v.
disruptif|||
edukasi|||
fasisme|||
harafiah|||
homoseksualitas|||
implisit|||
instansi|||
instrumental|||
investigatif|||
kancah|||
karsinogenik|||
komersil|||
komparatif|||
konkrit|||
konstituen|||
konstruktif|||
kontradiksi|||
konvergensi|||
kumulatif|||
melek|||
mendiskreditkan|||v.
menggarisbawahi|||v.
mengimplementasikan||implementasi|v.
menyetor|||v.
meritokrasi|||
minim|||
multidimensi|||
non-muslim|||
normalisasi|||
nozel|||
patriotisme|||
perfeksionisme|||
petisi|||
piton|||
siklon|||
sosiolog|||
swasembada|||
termarginalkan|||
terperosok|||v.
triage|||
adhesi|||
alkitabiah|||
editorial|||
firmware|||
influencer|||
loader|||
ruas|||
scan|||
sealant|||
substansial|||
versus|||
akhlak|||
antagonis|||
baiat|||
diafragma|||
drummer|||
efektor|||
enamel|||
evaporator|||
fatamorgana|||
homolog|||
ibadat|||
jahil|||
kanopi|||
kapital|||
ketidaktahuan||tahu|n.
klorofil|||
kompetensi|||
kontur|||
marabahaya|||
mencemoohkan|||v.
mencermati||cermat|v.
meridai|||v.
munkar|||
nasab|||
plak|||
polis|||
senda|||
suplementasi|||
takbir|||
tegalan|||
tenung|||
cerobong|||
herba|||
pahat|||
poliuretan|||
tuas|||
array|||
balada|||
generik|||
kakanda||kakak|n.
merambat|||v.
nikotin|||
perkusi|||
permeabilitas|||
plating|||
pratinjau|||
psikis|||
refrigeran|||
rongsokan|||
transplantasi|||
tutul|||
berkik|||
dekrit|||
emulsi|||
ikhtisar|||
observasi|||
resonansi|||
alga|||
anoda|||
binaraga|||
borjuis|||
hierarki|||
hore|||
knalpot|||
memonopoli||monopoli|v.
menavigasi||navigasi|v.
mitokondria|||
rajutan|||
sembarang|||
sigung|||
kernel|||
lada|||
ovarium|||
peleburan|||
perintis|||
reagen|||
simbolis|||
vertebrata|||
zip|||
bipolar|||
cawan|||
corong|||
doktoral|||
fisiologi|||
harmoni|||
kartunis|||
ketan|||
ketrampilan|||
mahluk|||
pemolesan|||
prabayar|||
prototip|||
termostat|||
thorium|||
topikal|||
cakra|||
geometris|||
lotion|||
meiosis|||
pipih|||
sumberdaya|||
tiroid|||
bangau|||
bas|||
inkubasi|||
kastor|||
mancur|||
mint|||
naturalis|||
arbiter|||
densitas|||
eter|||
fermentasi|||
filamen|||
harmonik|||
interface|||
invers|||
monastik|||
pai|||
peramban|||
petrokimia|||
spindel|||
stenosis|||
deterjen|||
disleksia|||
fisiologis|||
gladiator|||
hipokampus|||
karbonat|||
kolaborator|||
kortisol|||
liontin|||
mamografi|||
metabolit|||
orisinil|||
pengereman||rem|n.
pub|||
terestrial|||
toksisitas|||
tongkol|||
asas|||
berangan-angan||angan-angan|v.
beristikamah|||v.
bertaut|||v.
dera|||
dilipatgandakan|||v.
hasta|||
jahiliyah|||
kekhusyukan||khusyuk|n.
lahiriah|||
lailatulkadar|||
majaz|||
memilukan||pilu|v.
mengecam|||v.
menghalau||halau|v.
menyapih|||v.
menyungkur|||v.
meresap|||v.
nabati|||
nutfah|||
olok-olok|||
ovum|||
poligami|||
posterior|||
skuad|||
ta'bir|||
terbelalak|||v.
tercengang|||v.
terombang-ambing|||v.
tersungkur|||v.
thaghut|||
wukuf|||
agro-ekologi|||
bailout|||
birokrat|||
birokratis|||
demagog|||
desentralisasi|||
dinamisme|||
disokong|||v.
disrupsi|||
empiris|||
fragmentasi|||
hegemoni|||
importir|||
isolasionisme|||
iuran|||
kentara|||
kobalt|||
kolumnis|||
kondusif|||
konsolidasi|||
liberalisme|||
malware|||
mengucurkan|||v.
meningitis|||
monitoring|||
