# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
rich|riche; riche, copieux|o;o
accident|accident; hasard, coïncidence|o;o
lay|poser, étendre; forme passée de lie|v;o
scene|lieu, scène; scène (d'une pièce, d'un film)|o;o
sun|soleil|o
machine|machine|o
anywhere|n'importe où, quelque part|o
dangerous|dangereux|o
attention|attention; attention, remarque|o;o
dare|oser; défier, mettre au défi|v;v
sea|mer|o
contact|contacter, joindre; contact, relation|v;o
killer|tueur, meurtrier|o
grab|attraper, saisir|v
groan|gémir, grogner|v
witness|témoin; être témoin de, assister à|o;v
relationship|relation, lien; relation amoureuse|o;o
sitting|assis|o
radio|radio (appareil); radio, radiodiffusion|o;o
decision|décision|o
remain|rester, demeurer|v
lunch|déjeuner|o
field|champ, terrain; domaine, spécialité|o;o
smile|sourire|v
peace|paix; calme, tranquillité|o;o
cat|chat|o
government|gouvernement|o
art|art; art, savoir-faire|o;o
gift|cadeau; don, talent|o;o
normal|normal, habituel|o
tough|dur, difficile; solide, résistant|o;o
enemy|ennemi|o
memory|mémoire; souvenir|o;o
concern|inquiétude, souci; concerner, toucher|o;v
travel|voyager|v
teacher|enseignant, professeur|o
position|position, place; poste, emploi; position, avis|o;o;o
lawyer|avocat, juriste|o
prison|prison|o
partner|associé, partenaire; compagnon, conjoint|o;o
major|majeur, plus important; commandant (officier)|o;o
belong|appartenir à; être à sa place|v;v
soldier|soldat|o
quickly|vite, rapidement|o
doubt|douter de; doute|v;o
student|étudiant, élève|o
forward|en avant, vers l'avant|o
gold|or|o
eight|8|o
fell|tombé, forme passée de fall|o
store|magasin; stocker, conserver|o;v
tear|larme; déchirer|o;v
girlfriend|petite amie, copine|o
ice|glace|o
shoe|chaussure|o
certain|certain, sûr; certain, un tel|o;o
killing|meurtre, mise à mort|o
ruin|ruiner, gâcher; ruines, vestiges|v;o
form|forme; formulaire; former, se former|o;o;v
afternoon|après-midi|o
personal|personnel, privé|o
difficult|difficile|o
proud|fier|o
shout|crier|v
church|église|o
tea|thé|o
slow|lent|o
deserve|mériter|v
whether|si, que... ou non|o
pant|haleter, souffler|v
support|soutenir, supporter; soutenir, appuyer|v;v
public|public, ouvert à tous; le public, les gens|o;o
base|base, fondement; base militaire|o;o
angry|en colère, fâché|o
file|dossier, fichier; classer, ranger; lime|o;v;o
bear|ours; porter, supporter|o;v
sad|triste|o
cross|traverser; fâché, contrarié; croix|v;o;o
match|match, rencontre; allumette; correspondre à, égaler|o;o;v
suit|costume, tailleur; convenir à, aller à; procès|o;v;o
owe|devoir (de l'argent)|v
risk|risque; risquer, mettre en danger|o;v
tie|cravate; attacher, nouer; égalité, match nul|o;v;o
drunk|ivre, soûl|o
spot|tache, point; endroit, lieu; repérer, apercevoir|o;o;v
note|mot, note écrite; note (de musique); remarquer, noter|o;o;v
taste|goût, saveur; goûter; goût, sens du beau|o;v;o
suspect|suspect; soupçonner, se douter de|o;v
queen|reine (souveraine); reine (épouse du roi)|o;o
plane|avion; plan, surface plane|o;o
sake|(for the sake of) pour, dans l'intérêt de|o
mm|mm (accord ou réflexion)|g
standing|debout|o
island|île|o
quit|arrêter, quitter|v
appreciate|être reconnaissant de; apprécier, estimer|v;v
flower|fleur|o
dollar|dollar|o
upset|contrarié, bouleversé; renverser, faire tomber|o;v
blame|reprocher, accuser; faute, responsabilité|v;o
mum|maman (britannique)|o
screw|vis; visser; (vulgaire) baiser|o;v;v
pop|pop, petit bruit sec; musique pop; papa (familier); éclater|o;o;o;v
boyfriend|petit ami, copain|o
mm-hmm|mmh (qui veut dire oui)|g
fill|remplir|v
within|à l'intérieur de, d'ici|o
beg|supplier, implorer; mendier|v;v
pleasure|plaisir|o
vote|voter; vote, voix|v;o
third|3e|o
truck|camion|o
invite|inviter|v
honest|honnête, franc|o
computer|ordinateur|o
draw|dessiner; tirer, traîner; match nul|v;v;o
fit|aller, être à la bonne taille; en forme; crise, attaque|v;o;o
apartment|appartement|o
often|souvent|o
serve|servir (à manger); servir, travailler pour; servir à|v;v;v
mama|maman (familier)|o
photo|photo|o
action|action, acte; combat; action (dans un film)|o;o;o
english|anglais, d'Angleterre; l'anglais (la langue)|o;o
private|privé, particulier; simple soldat|o;o
hungry|affamé, qui a faim|o
heaven|paradis, ciel; paradis, grand bonheur|o;o
strike|frapper; grève|v;o
college|université, faculté|o
disappear|disparaître|v
lieutenant|lieutenant|o
press|appuyer sur, presser; la presse, les médias|v;o
beer|bière|o
difference|différence|o
client|client|o
cute|mignon; adorable, charmant|o;o
wind|vent; enrouler, remonter|o;v
village|village|o
green|vert|o
planet|planète|o
bloody|(britannique, juron léger) fichu, satané; ensanglanté|o;o
ticket|billet, ticket|o
finger|doigt|o
i-i|(bégayé) je|f1s
large|grand, vaste|o
lt|Lt., abréviation de Lieutenant|o
admit|admettre, reconnaître; laisser entrer, admettre|v;v
appear|apparaître, paraître; sembler, avoir l'air|v;v
especially|surtout, en particulier|o
receive|recevoir|v
board|planche; conseil, direction; monter à bord de|o;o;v
beep|bip|o
french|français, de France; le français (la langue)|o;o
type|type, genre; taper (au clavier)|o;v
involved|impliqué, mêlé à; compliqué, complexe|o;o
hero|héros; héros, personnage principal|o;o
professor|professeur (d'université)|o
hole|trou|o
impossible|impossible|o
obviously|évidemment, manifestement|o
bell|cloche, sonnette|o
neither|ni l'un ni l'autre; ni|o;o
enter|entrer dans; saisir, entrer (des données)|v;v
evil|malfaisant, mauvais; le mal|o;o
besides|en plus de, outre; d'ailleurs, de toute façon|o;o
issue|question, sujet; problème, souci; numéro (d'une revue)|o;o;o
jail|prison|o
member|membre|o
cost|coût, prix; coûter|o;v
address|adresse; s'adresser à, parler à; traiter, s'attaquer à|o;v;v
spirit|esprit, âme; esprit, fantôme; humeur, courage|o;o;o
guest|invité, hôte|o
release|libérer, relâcher; publier, rendre public|v;v
manage|réussir à, arriver à; diriger, gérer|v;v
stone|pierre (matière); caillou, pierre|o;o
la|la (syllabe chantée)|o
roll|rouler; petit pain; liste, registre|v;o;o
rain|pluie|o
holy|saint, sacré|o
suck|sucer, aspirer; (familier) être nul|v;v
wine|vin|o
river|fleuve, rivière|o
cash|espèces, liquide|o
huge|énorme, immense|o
trick|tour, ruse; tromper, duper|o;v
beginning|début, commencement|o
mate|pote, copain (britannique); partenaire; s'accoupler|o;o;v
bomb|bombe; bombarder|o;v
suggest|suggérer, proposer|v
driving|conduite, au volant|o
congratulations|félicitations (à quelqu'un pour une bonne nouvelle)|g
feed|nourrir, donner à manger à|v
german|allemand, d'Allemagne; l'allemand (la langue)|o;o
fail|échouer, rater|v
price|prix|o
bottle|bouteille|o
bus|bus, autobus|o
survive|survivre à|v
complete|complet, entier; achever, terminer|o;v
south|sud|o
race|course; race, peuple; foncer, courir|o;o;v
battle|bataille, combat|o
laughter|rires|o
mountain|montagne|o
wash|laver|v
level|niveau; plat, de niveau|o;o
whose|à qui, dont|o
final|dernier, final; finale (match)|o;o
duty|devoir, obligation; droits, taxe|o;o
chicken|poulet, poule; froussard, poule mouillée|o;o
pretend|faire semblant, prétendre|v
singing|chant|o
north|nord|o
mrs|Madame (titre d'une femme mariée)|o
engine|moteur|o
madam|madame (formule de politesse)|o
crowd|foule|o
favor|service, faveur; soutien, faveur; préférer, favoriser|o;o;v
settle|régler, mettre fin à; s'installer, s'établir; se poser|v;v;v
stage|scène, estrade; étape, stade|o;o
ghost|fantôme, revenant|o
exist|exister|v
summer|été|o
magic|magie; tours de magie|o;o
dirty|sale; grossier, obscène|o;o
colonel|colonel|o
camp|camp, campement; camper|o;v
yell|hurler, brailler|v
holding|tenant|o
remind|rappeler à, faire penser à|v
immediately|immédiatement, tout de suite|o
fat|gros, gras; graisse, matière grasse|o;o
moon|lune|o
upon|sur (soutenu)|o
christ|(exclamation de colère ou de stupeur); le Christ|g;o
bore|ennuyer, lasser; percer, forer|v;v
mission|mission|o
aunt|tante|o
block|bloc, morceau; pâté de maisons; bloquer, barrer|o;o;v
dig|creuser|v
pack|faire ses valises, emballer; paquet; meute, bande|v;o;o
wound|blessure; blesser; enroulé, forme passée de wind|o;v;o
suddenly|soudain, tout à coup|o
kitchen|cuisine|o
usually|d'habitude, généralement|o
account|compte (bancaire); récit, compte rendu; (account for) expliquer|o;o;v
er|euh (hésitation)|g
color|couleur; colorier, colorer|o;v
rid|(get rid of) se débarrasser de|v
result|résultat, conséquence; résultat (d'un examen)|o;o
crap|(vulgaire) conneries, n'importe quoi; merde, excréments|o;o
yo|yo (salut familier, pour appeler)|g
grand|grandiose, imposant; mille dollars (familier)|o;o
sky|ciel|o
warm|chaud, tiède; chaleureux|o;o
piss|(vulgaire) pisser; (pissed off) énervé, furax|v;o
worst|le pire|o
shake|secouer, trembler|v
aah|aah (cri de peur ou de douleur)|g
low|bas, près du sol; faible, peu élevé; grave (son)|o;o;o
challenge|défi, épreuve; contester, défier|o;v
video|vidéo|o
detail|détail|o
everywhere|partout|o
practice|entraînement, exercice; cabinet (de médecin, d'avocat)|o;o
ow|aïe (cri de douleur)|g
ear|oreille|o
yep|ouais (familier)|o
gay|homosexuel, gay; (peu usité) gai, joyeux|o;o
angel|ange; ange, personne adorable|o;o
condition|état; condition, exigence|o;o
shh|(pour demander le silence)|g
conversation|conversation|o
nervous|nerveux, inquiet|o
themselves|(réfléchi de they) eux-mêmes|o
hunt|chasser; rechercher, traquer|v;v
hire|embaucher, engager; louer|v;v
discuss|discuter de, parler de|v
copy|copie, exemplaire; copier|o;v
leader|chef, dirigeant|o
rose|rose (fleur); forme passée de rise|o;o
hadn|(dans hadn't) forme négative de had|o
tape|ruban adhésif, scotch; enregistrement, cassette; enregistrer|o;o;v
chase|poursuivre, courir après|v
gas|gaz; essence (américain)|o;o
egg|oeuf|o
bone|os|o
'ii|(coquille pour 'll) marque le futur|o
band|groupe (de musique); bande, ruban|o;o
wood|bois (matière); bois, petite forêt|o;o
innocent|innocent, non coupable; innocent, candide|o;o
department|service, département|o
double|double; doubler|o;v
accord|accord, entente; (of one's own accord) de son plein gré|o;o
favorite|préféré, favori; le préféré, le favori|o;o
further|plus loin, davantage|v
correct|correct, exact; corriger|o;v
otherwise|sinon, autrement; par ailleurs, à part ça|o;o
pray|prier|v
freak|monstre, cinglé; (freak out) paniquer, péter les plombs|o;v
awesome|génial, super (familier)|o
monster|monstre; monstre, personne cruelle|o;o
prince|prince|o
convince|convaincre, persuader|v
pressure|pression; pression, insistance|o;o
throat|gorge|o
add|ajouter; additionner|v;v
nine|9|o
bury|enterrer, ensevelir|v
trap|piège; piéger, coincer|o;v
reading|lecture|o
narrator|narrateur|o
criminal|criminel, délinquant; criminel, illégal|o;o
herself|(réfléchi de she) elle-même|o
ourselves|(réfléchi de we) nous-mêmes|o
folk|les gens; les gens simples; musique folk|o;o;o
nose|nez|o
target|cible; objectif, but|o;o
driver|conducteur, chauffeur|o
crash|s'écraser, avoir un accident; fracas, grand bruit|v;o
plant|plante; usine; planter|o;o;v
bullet|balle (d'arme à feu)|o
corner|coin, angle|o
energy|énergie; énergie, entrain|o;o
guilty|coupable; qui se sent coupable|o;o
apart|séparé, à l'écart|o
bunch|bouquet, grappe, tas|o
empty|vide; vider|o;v
writing|écriture, écrit|o
danger|danger|o
commit|commettre; s'engager à|v;v
west|ouest|o
sergeant|sergent, brigadier|o
buck|dollar (familier); cerf, mâle|o;o
flight|vol (en avion); fuite|o;o
helping|qui aide; portion, part|o;o
hat|chapeau|o
weekend|week-end|o
include|comprendre, inclure; inclure, mettre dedans|v;v
knife|couteau|o
code|code, règles; code secret|o;o
upstairs|en haut, à l'étage|o
twice|deux fois|o
heavy|lourd; lourd, pénible|o;o
operation|opération (chirurgicale); opération, action; fonctionnement|o;o;o
indeed|en effet, effectivement|o
wild|sauvage; déchaîné, effréné|o;o
fellow|type, gars; du même groupe, confrère|o;o
refuse|refuser|v
claim|affirmer, prétendre; réclamer, revendiquer|v;v
character|caractère, nature; personnage; caractère, signe|o;o;o
opportunity|occasion, possibilité|o
apologize|s'excuser|v
pregnant|enceinte|o
recognize|reconnaître; reconnaître officiellement|v;v
local|local, du coin|o
fan|fan, supporter; ventilateur|o;o
loud|fort, bruyant; voyant, criard|o;o
discover|découvrir|v
silly|bête, idiot|o
tooth|dent|o
neck|cou|o
bathroom|salle de bains, toilettes|o
speed|vitesse; rouler trop vite|o;v
breakfast|petit-déjeuner|o
deliver|livrer; prononcer (un discours); accoucher, mettre au monde|v;v;v
blind|aveugle; store|o;o
above|au-dessus de|o
hiding|caché, en train de se cacher|o
focus|se concentrer sur; centre d'intérêt, point de mire|v;o
assume|supposer, présumer; assumer, prendre en charge|v;v
fresh|frais, tout juste fait; frais, pur|o;o
applause|applaudissements|o
however|cependant, pourtant; de quelque manière que|o;o
lift|lever, soulever; ascenseur (britannique); trajet en voiture|v;o;o
extra|supplémentaire, en plus; figurant|o;o
cheat|tricher, tromper|v
stole|volé, forme passée de steal|o
restaurant|restaurant|o
devil|démon, diable; (the Devil) Satan|o;o
skin|peau|o
cousin|cousin|o
unit|unité, élément; unité (de mesure)|o;o
cup|tasse|o
beach|plage|o
excited|excité, tout content|o
van|camionnette, fourgonnette|o
language|langue; langage, façon de s'exprimer|o;o
hall|salle, hall; couloir, entrée|o;o
introduce|présenter (des personnes); introduire, instaurer|v;v
itself|(réfléchi de it) lui-même|o
acting|jeu, interprétation; par intérim|o;o
divorce|divorce; divorcer de|o;v
beauty|beauté|o
shock|choc, bouleversement; choquer, bouleverser|o;v
tight|serré, étroit; juste, à court d'argent|o;o
event|événement, fait; manifestation, épreuve|o;o
shame|honte; dommage, pitié|o;o
program|programme (d'événements); programme informatique; émission|o;o;o
following|suivant|o
cake|gâteau|o
project|projet; projeter, lancer|o;v
bottom|bas, fond; fesses, derrière|o;o
closer|plus près|o
damage|dégâts, dommages; abîmer, endommager|o;v
shooting|tir, coups de feu; fusillade, meurtre par balle|o;o
bite|mordre|v
approach|s'approcher de; approche, façon de faire|v;o
interview|entretien, interrogatoire; interroger, interviewer|o;v
nature|nature (le monde vivant); nature, caractère|o;o
apparently|(à ce qu'il paraît) apparemment, semble-t-il|o
coach|entraîneur; autocar, car; entraîner|o;o;v
chatter|(brouhaha de conversations); bavarder, papoter|g;v
view|vue, panorama; avis, opinion|o;o
pound|livre (monnaie britannique); livre (454 g); marteler, cogner|o;o;v
grace|grâce, élégance; grâce, bonté; bénédicité (prière avant le repas)|o;o;o
fake|faux, contrefait; falsifier, contrefaire|o;v
trial|procès; essai, test|o;o
nurse|infirmier, infirmière; soigner|o;v
mommy|maman (mot d'enfant, américain)|o
ridiculous|ridicule|o
simply|simplement, seulement; simplement, sans façon|o;o
breathe|respirer|v
majesty|(Your Majesty) Votre Majesté|o
dry|sec; sécher|o;v
crack|fissure, fente; craquer, se fêler; vanne, remarque|o;v;o
sweetheart|amoureux, bien-aimé; (comme appellation) chéri|o;o
load|charge, chargement; charger; charger (une arme)|o;v;v
medical|médical|v
suffer|souffrir; subir, supporter|v;v
whom|(forme complément de who)|g
commander|commandant|o
paint|peinture; peindre; peindre (un tableau)|o;v;v
famous|célèbre, connu|o
nut|noix, fruit à coque; écrou; cinglé, fou|o;o;o
pig|cochon, porc; goinfre, porc|o;o
asleep|endormi|o
common|commun, partagé; courant, fréquent|o;o
sight|vue (la faculté); spectacle, vue|o;o
command|ordre; ordonner, commander; commandement (des troupes)|o;v;o
awful|affreux, épouvantable|o
princess|princesse|o
bang|détonation, grand bruit; cogner, frapper fort|o;v
goddamn|(vulgaire) foutu, sacré (pour insister)|o
faith|foi, croyance; religion, foi; confiance|o;o;o
due|prévu, attendu; dû; (due to) à cause de|o;o;o
chair|chaise|o
plenty|largement assez, en abondance|o
page|page|o
excellent|excellent|o
asshole|(vulgaire) connard, salaud; anus|o;o
bless|bénir; (bless you) à tes souhaits|v;o
fuckin|(vulgaire) = fucking, putain de (pour insister)|o
unite|unir, réunir|v
responsible|responsable, chargé de; responsable, à l'origine de; sérieux, fiable|o;o;o
justice|justice, équité; la justice, les tribunaux|o;o
military|militaire; l'armée, les forces armées|v;o
main|principal|o
hill|colline|o
request|demander (poliment); demande, requête|v;o
whoever|quiconque, celui qui|o
post|poste, fonction; courrier; poteau; poster, envoyer par la poste|o;o;o;v
minister|ministre; pasteur|o;o
bridge|pont|o
bullshit|(vulgaire) conneries, foutaises|o
gate|portail, barrière|o
remove|enlever, retirer|v
necessary|nécessaire|o
although|bien que, quoique|o
rob|voler, dévaliser|v
breath|souffle, haleine|o
lesson|leçon, cours; leçon (de l'expérience)|o;o
dick|(vulgaire) bite; connard|o;o
market|marché (lieu); marché, demande|o;o
career|carrière|o
emergency|urgence|o
clearly|clairement, nettement; manifestement, à l'évidence|o;o
crew|équipage, équipe|o
player|joueur; lecteur (appareil)|o;o
shirt|chemise|o
artist|artiste|o
size|taille, dimension|o
inspector|inspecteur (de police); inspecteur, contrôleur|o;o
design|conception, dessin; concevoir, dessiner|o;v
prefer|préférer|v
lover|amant, maîtresse|o
russian|russe, de Russie; le russe (la langue)|o;o
model|maquette, modèle réduit; mannequin; modèle, type|o;o;o
manager|directeur, responsable|o
depend|(depend on) compter sur, dépendre de; dépendre de|v;v
grandma|mamie, grand-mère (familier)|o
threaten|menacer; menacer, mettre en péril|v;v
investigation|enquête|o
hearing|ouïe; audience, audition|o;o
national|national|o
several|plusieurs|o
milk|lait|o
trade|commerce, négoce; métier; échanger, troquer|o;o;v
east|est|o
celebrate|fêter, célébrer|v
pardon|(pardon?) comment?, pardon?; pardonner|o;v
hanging|suspendu, accroché; pendaison|o;o
advice|conseils|o
dump|larguer, laisser tomber; décharge, dépotoir|v;o
noise|bruit|o
term|terme, mot; période, durée; condition (d'un accord)|o;o;o
whisper|chuchoter, murmurer|v
rush|se précipiter, foncer; ruée, afflux|v;o
nor|ni|o
drag|traîner, tirer; corvée, barbe (familier)|v;o
center|centre, milieu; centre (établissement)|o;o
health|santé|o
embarrass|gêner, mettre mal à l'aise|v
wave|faire signe de la main, saluer; vague|v;o
