# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
eh|¿eh? (pidiendo acuerdo o que repitan)|g
accept|aceptar, admitir|v
hotel|hotel|o
deep|profundo, hondo; profundo, difícil de entender; profundo, intenso (deep love: amor profundo)|o;o;o
idiot|idiota, tonto|o
short|corto, bajo; breve, de poca duración; shorts: pantalones cortos|o;o;n
jump|saltar, brincar|v
table|mesa; tabla, cuadro de cifras|o;o
buddy|amigo, compa (informal)|o
birthday|cumpleaños|o
during|durante|o
weapon|arma|o
camera|cámara|o
evidence|pruebas, evidencia|o
club|club (grupo con un interés); antro, discoteca; garrote, palo pesado|o;o;o
honor|honor, buen nombre; honrar|o;v
seat|asiento|o
agent|agente, representante; agente del gobierno|o;o
tree|árbol|o
tv|televisión|o
create|crear|v
completely|completamente, del todo|o
security|seguridad, protección; los guardias de seguridad|o;o
totally|totalmente, absolutamente (informal)|o
area|zona, área; superficie, extensión|o;o
treat|tratar (a alguien); atender, dar tratamiento médico; un gusto, algo especial|v;v;o
bank|banco; orilla de un río|o;o
floor|piso, suelo; piso, planta de un edificio|o;o
born|nacido|o
information|información, datos|o
situation|situación|o
instead|en vez de eso|o
definitely|sin duda, definitivamente|o
victim|víctima|o
certainly|seguramente, sin duda; (como respuesta) por supuesto|o;o
prepare|preparar, alistarse|v
smart|listo, inteligente; arreglado, de buen ver|o;o
christmas|Navidad, fiesta cristiana del 25 de diciembre|o
raise|levantar, alzar; criar (a un hijo); aumento de sueldo; subir, aumentar (precios, un nivel); recaudar (dinero); plantear (una pregunta, una preocupación)|v;v;o;v;v;v
unless|a menos que|o
seven|7|o
clothes|ropa|o
respect|respeto; respetar|o;v
smoke|humo; fumar|o;v
escape|escapar, huir|v
window|ventana|o
hasn|(en hasn't) no ha|f3s
boat|bote, lancha|o
cook|cocinar; cocinero|v;o
waste|desperdiciar, malgastar; basura, desechos|v;o
bother|molestar, fastidiar; molestarse en hacer algo|v;v
soul|alma, espíritu; persona|o;o
history|historia (estudio del pasado); el pasado mismo|o;o
trip|viaje; tropezar y caer|o;v
cell|celda de una prisión; célula; celular|o;o;o
terrible|terrible, malísimo|o
army|ejército|o
simple|fácil, sencillo; simple, sin complicaciones|o;o
hundred|100|o
relax|relajarse, descansar|v
guard|guardia, vigilante; proteger, vigilar|o;v
except|excepto, salvo|o
detective|detective|o
broke|rompió, pasado de break; sin dinero, quebrado|o;o
lovely|hermoso, muy agradable|o
seriously|en serio, con seriedad; de verdad, realmente|o;o
forever|para siempre|o
entire|entero, completo|o
space|espacio, hueco; el espacio (más allá de la Tierra)|o;o
mention|mencionar, referirse a|v
gasp|dar un grito ahogado, tomar aire de golpe|v
track|camino, pista; pista, canción grabada; rastrear, seguir; keep track of: seguir, llevar la cuenta de; huellas, rastro; vía (del tren)|o;o;v;n;o;o
across|al otro lado de, de un lado a otro|o
patient|paciente (que recibe atención médica); paciente, que sabe esperar|o;o
marriage|matrimonio; boda|o;o
fair|justo, razonable; claro, rubio; feria con juegos|o;o;o
single|uno solo, único; soltero|o;o
list|lista|o
experience|experiencia, lo vivido; experimentar, vivir algo|o;v
bird|pájaro, ave|o
middle|el medio, el centro|o
rich|rico, con mucho dinero; rico, de sabor fuerte|o;o
accident|accidente; casualidad|o;o
lay|poner, acostar; se acostó, pasado de lie|v;o
scene|escena, lugar de los hechos; escena de una obra o película|o;o
sun|el Sol|o
machine|máquina|o
anywhere|en cualquier lugar, a cualquier lugar|o
dangerous|peligroso|o
attention|atención (al mirar o escuchar); atención, interés|o;o
dare|atreverse a; retar, desafiar|v;v
sea|mar|o
contact|contactar, comunicarse con; contacto entre personas|v;o
killer|asesino|o
grab|agarrar de repente|v
groan|gemir, quejarse con un sonido grave|v
witness|testigo; presenciar, ver ocurrir|o;v
relationship|relación entre dos personas; romance, noviazgo|o;o
sitting|sentado|o
radio|radio (aparato); radio, transmisión por ondas|o;o
decision|decisión|o
remain|quedarse, permanecer|v
lunch|almuerzo, comida del mediodía|o
field|campo (de cultivo o deporte); campo de estudio|o;o
smile|sonreír|v
peace|paz (sin guerra); calma, tranquilidad|o;o
cat|gato|o
government|gobierno|o
art|arte; habilidad, destreza|o;o
gift|regalo; don, talento natural|o;o
normal|normal, como se espera|o
tough|difícil de hacer; fuerte, resistente|o;o
enemy|enemigo|o
memory|memoria (la capacidad); un recuerdo|o;o
concern|preocupación; tratarse de, involucrar|o;v
travel|viajar|v
teacher|maestro, profesor|o
position|posición, lugar; puesto de trabajo; postura, opinión|o;o;o
lawyer|abogado|o
prison|prisión, cárcel|o
partner|socio, compañero de trabajo; pareja|o;o
major|mayor, más importante; mayor (militar arriba de capitán)|o;o
belong|pertenecer a; estar en su lugar|v;v
soldier|soldado|o
quickly|rápido, en poco tiempo|o
doubt|dudar de; duda|v;o
student|estudiante|o
forward|hacia adelante|o
gold|oro|o
eight|8|o
fell|cayó, pasado de fall|o
store|tienda; almacenar, guardar|o;v
tear|lágrima; rasgar, romper|o;v
girlfriend|novia|o
ice|hielo|o
shoe|zapato|o
certain|seguro, sin duda; cierto, uno en particular sin nombrar|o;o
killing|asesinato, el acto de matar|o
ruin|arruinar, echar a perder; ruinas de un edificio|v;o
form|forma; formulario; formar, tomar forma|o;o;v
afternoon|la tarde|o
personal|personal, privado|o
difficult|difícil|o
proud|orgulloso|o
shout|gritar|v
church|iglesia|o
tea|té|o
slow|lento, despacio|o
deserve|merecer|v
whether|si (en cualquiera de los casos)|o
pant|jadear, respirar agitado; pants: pantalones (EE. UU.), calzoncillos (R. U.)|v;n
public|público, abierto a todos; el público, la gente|o;o
base|base, parte de abajo; base militar; based in / based on: con sede en, basado en|o;o;n
angry|enojado, molesto|o
file|archivo, carpeta de papeles o datos; archivar; lima (herramienta)|o;v;o
bear|oso; cargar, soportar|o;v
sad|triste|o
cross|cruzar, atravesar; molesto, enojado; cruz|v;o;o
match|partido entre dos equipos; cerillo, fósforo; igualar, coincidir con|o;o;v
suit|traje; quedarle bien a, convenir a; demanda judicial|o;v;o
owe|deber (dinero)|v
risk|riesgo; arriesgar, poner en peligro|o;v
tie|corbata; atar con cuerda; empate|o;v;o
spot|mancha, punto; lugar, sitio; divisar, alcanzar a ver|o;o;v
note|nota, mensaje corto; nota musical; notar, observar|o;o;v
taste|sabor; probar, sentir el sabor; gusto, buen criterio|o;v;o
suspect|sospechoso; sospechar, desconfiar de|o;v
queen|reina; esposa del rey|o;o
plane|avión; plano, superficie plana|o;o
sake|(for the sake of) por el bien de, por|o
mm|(sonido de acuerdo o de estar pensando)|g
standing|de pie, parado|o
island|isla|o
quit|dejar de hacer, renunciar al trabajo|v
appreciate|agradecer; valorar, apreciar|v;v
flower|flor|o
dollar|dólar|o
upset|molesto y preocupado; volcar, tumbar|o;v
blame|culpar, echar la culpa; la culpa|v;o
mum|mamá (británico)|o
pop|un pequeño estallido; música pop; papá (informal); reventar|o;o;o;v
boyfriend|novio|o
mm-hmm|(sonido que significa sí)|g
fill|llenar|v
within|dentro de, antes de que termine|o
beg|rogar, suplicar; pedir limosna|v;v
pleasure|placer, gusto|o
vote|votar; voto|v;o
third|3.º|o
truck|camión|o
invite|invitar|v
honest|honesto, sincero|o
computer|computadora|o
draw|dibujar; jalar, tirar de; empate|v;v;o
fit|quedar bien, ser del tamaño correcto; en forma, sano; ataque repentino de una enfermedad|v;o;o
apartment|departamento|o
often|a menudo, seguido|o
serve|servir (comida); trabajar para; servir para, ser útil a|v;v;v
mama|mamá (informal)|o
photo|foto|o
action|acción, el hacer algo; combate; acción en una película|o;o;o
english|inglés, de Inglaterra; el idioma inglés|o;o
private|privado, para una sola persona; soldado raso|o;o
hungry|hambriento, con hambre|o
heaven|el cielo, morada de Dios; la gloria, gran felicidad|o;o
strike|golpear; huelga, paro de trabajo|v;o
college|universidad, estudios después de la escuela|o
disappear|desaparecer|v
lieutenant|teniente (oficial menor del ejército o la policía)|o
press|presionar, apretar; la prensa, los medios|v;o
beer|cerveza|o
difference|diferencia|o
client|cliente (que paga un servicio)|o
cute|lindo, mono; tierno|o;o
wind|viento; enrollar, dar cuerda|o;v
village|pueblo, aldea|o
green|verde|o
planet|planeta|o
bloody|(británico, grosería suave) maldito; ensangrentado|o;o
finger|dedo de la mano|o
i-i|(tartamudeando) yo|f1s
large|grande|o
lt|Tte., abreviatura de Lieutenant|o
admit|admitir, reconocer; dejar entrar|v;v
appear|aparecer, hacerse visible; parecer|v;v
especially|sobre todo, especialmente|o
receive|recibir|v
board|tabla de madera; junta directiva; abordar, subirse a un vehículo|o;o;v
beep|bip, sonido electrónico corto y agudo|o
french|francés, de Francia; el idioma francés|o;o
type|tipo, categoría; escribir a máquina, teclear|o;v
involved|involucrado, que participa; complicado, enredado|o;o
hero|héroe, admirado por su valor; protagonista|o;o
professor|catedrático, profesor universitario|o
hole|hoyo, agujero|o
impossible|imposible|o
obviously|obviamente, claramente|o
bell|campana|o
neither|ninguno de los dos; ni|o;o
enter|entrar; ingresar datos|v;v
evil|malvado, moralmente muy malo; la maldad|o;o
besides|además de; de todos modos|o;o
jail|cárcel|o
member|miembro, socio|o
cost|costo, precio; costar|o;v
address|dirección, domicilio; dirigirse a; abordar, ocuparse de|o;v;v
spirit|alma, espíritu; fantasma; ánimo, valor|o;o;o
guest|invitado, huésped|o
release|liberar, soltar; hacer público, sacar|v;v
manage|lograr, arreglárselas para; dirigir, estar a cargo de|v;v
stone|piedra, materia dura; piedra pequeña|o;o
la|(sílaba cantada) la|o
roll|rodar, dar vueltas; bolillo, panecillo; lista de nombres|v;o;o
rain|lluvia|o
holy|sagrado, santo|o
suck|chupar; (informal) ser malísimo|v;v
wine|vino|o
river|río|o
cash|efectivo, dinero en billetes y monedas|o
huge|enorme|o
trick|truco, engaño; engañar|o;v
beginning|el principio, el comienzo|o
mate|amigo (británico); pareja de un par; aparearse|o;o;v
bomb|bomba; bombardear|o;v
suggest|sugerir, proponer|v
driving|manejando, conduciendo|o
congratulations|felicidades (al dar buenas noticias)|g
feed|alimentar, dar de comer|v
german|alemán, de Alemania; el idioma alemán|o;o
fail|fracasar, no lograrlo|v
price|precio|o
bottle|botella|o
bus|autobús, camión|o
survive|sobrevivir a|v
complete|completo, sin que falte nada; completar, terminar|o;v
south|el sur|o
race|carrera de velocidad; raza; correr, ir muy rápido|o;o;v
battle|batalla, combate|o
laughter|risa, el sonido de reír|o
mountain|montaña|o
wash|lavar|v
level|nivel alcanzado; plano, parejo|o;o
whose|de quién, cuyo|o
final|último, final; la final, el partido decisivo|o;o
duty|deber, obligación; impuesto sobre mercancías|o;o
chicken|gallina, pollo; cobarde|o;o
pretend|fingir, hacer como si|v
singing|cantando|o
north|el norte|o
mrs|Sra., título para una mujer casada|o
engine|motor|o
madam|señora (trato cortés)|o
crowd|multitud, gentío|o
favor|favor; apoyo; preferir, favorecer|o;o;v
settle|zanjar, llegar a un arreglo; establecerse en un lugar; asentarse, posarse|v;v;v
stage|escenario; etapa de un proceso|o;o
ghost|fantasma|o
exist|existir, ser real|v
summer|verano|o
magic|magia, poder sobrenatural; trucos de magia|o;o
dirty|sucio; grosero, indecente|o;o
colonel|coronel|o
camp|campamento; acampar|o;v
yell|gritar|v
holding|sosteniendo, agarrando|o
remind|recordarle a alguien|v
immediately|de inmediato, enseguida|o
fat|gordo; grasa|o;o
moon|la Luna|o
upon|sobre (formal)|o
director|director de una empresa o de una película|o
christ|(exclamación de enojo o sorpresa); Cristo, título de Jesús|g;o
mission|misión, tarea encomendada|o
aunt|tía|o
block|bloque, pieza sólida; cuadra, manzana; bloquear, estorbar|o;o;v
dig|cavar, excavar|v
pack|empacar, hacer la maleta; paquete; manada|v;o;o
wound|herida; herir; enrolló, pasado de wind|o;v;o
suddenly|de repente, de pronto|o
kitchen|cocina|o
usually|normalmente, por lo general|o
er|(sonido de duda)|g
color|color; colorear, dar color a|o;v
result|resultado, consecuencia; resultado de una prueba|o;o
crap|(vulgar) basura, tonterías; excremento|o;o
yo|(saludo informal o llamada de atención)|g
grand|grandioso, imponente; mil dólares (informal)|o;o
sky|el cielo|o
warm|tibio, templado; cálido, amable|o;o
piss|(vulgar) mear, orinar; pissed off: enojado|v;n
worst|el peor|o
shake|sacudir, agitar|v
aah|(grito de miedo o dolor)|g
low|bajo, cerca del suelo; bajo, escaso; grave (sonido)|o;o;o
challenge|reto, desafío; cuestionar, desafiar|o;v
video|video|o
detail|detalle|o
everywhere|en todas partes|o
practice|práctica, ejercicio repetido; consultorio, despacho|o;o
ow|(grito de dolor repentino)|g
ear|oreja, oído|o
yep|sí (informal)|o
gay|gay, homosexual; (anticuado) alegre|o;o
angel|ángel, mensajero de Dios; persona muy buena|o;o
condition|estado, condición; condición, requisito|o;o
shh|(pidiendo silencio)|g
conversation|conversación, plática|o
nervous|nervioso, ansioso|o
themselves|(reflexivo de they) ellos mismos|o
hunt|cazar; buscar|v;v
hire|contratar; rentar, alquilar por un tiempo|v;v
discuss|hablar de, discutir|v
leader|líder, jefe|o
rose|rosa (la flor); subió, pasado de rise|o;o
hadn|(en hadn't) forma negativa de had|o
tape|cinta adhesiva; grabación; grabar|o;o;v
chase|perseguir|v
gas|gas; gasolina (americano)|o;o
egg|huevo|o
bone|hueso|o
'ii|(errata de 'll) marca el futuro|o
band|banda de músicos; tira, cinta de material|o;o
wood|madera; bosque pequeño|o;o
innocent|inocente, no culpable; inocente, sin malicia|o;o
department|departamento, sección|o
double|doble, dos veces más; duplicar|o;v
accord|acuerdo; own accord: por voluntad propia|o;n
favorite|favorito, preferido; el favorito|o;o
correct|correcto, sin errores; corregir|o;v
otherwise|si no, de lo contrario; por lo demás|o;o
pray|rezar, orar|v
awesome|genial, increíble (informal)|o
monster|monstruo; persona cruel|o;o
prince|príncipe|o
convince|convencer|v
pressure|presión (fuerza); presión, insistencia|o;o
throat|garganta|o
add|agregar, añadir; sumar|v;v
nine|9|o
bury|enterrar|v
trap|trampa; atrapar|o;v
reading|leyendo, lectura|o
narrator|narrador|o
criminal|delincuente, criminal; delictivo, contra la ley|o;o
herself|(reflexivo de she) ella misma|o
ourselves|(reflexivo de we) nosotros mismos|o
folk|la gente; la gente común; música folclórica|o;o;o
nose|nariz|o
target|blanco, objetivo; meta|o;o
driver|conductor, chofer|o
crash|chocar, estrellarse; estruendo, ruido de algo que se rompe|v;o
plant|planta; fábrica, planta; plantar, sembrar|o;o;v
bullet|bala|o
corner|esquina, rincón|o
energy|energía; vitalidad, ánimo|o;o
guilty|culpable; que se siente culpable|o;o
bunch|montón, racimo, grupo|o
empty|vacío; vaciar|o;v
writing|escritura, lo escrito|o
danger|peligro|o
commit|cometer (algo malo); comprometerse a|v;v
west|el oeste|o
sergeant|sargento|o
buck|dólar (informal); ciervo macho|o;o
flight|vuelo; huida, fuga|o;o
helping|ayudando; porción de comida|o;o
hat|sombrero, gorra|o
weekend|el fin de semana|o
include|incluir, tener como parte; meter, incluir|v;v
knife|cuchillo|o
code|código, sistema de reglas o signos; clave secreta|o;o
upstairs|arriba, en el piso de arriba|o
twice|dos veces|o
heavy|pesado; duro, difícil de soportar|o;o
operation|operación quirúrgica; operativo, acción planeada; funcionamiento de una máquina|o;o;o
indeed|de verdad, en efecto|o
wild|salvaje, no domesticado; descontrolado|o;o
fellow|tipo, sujeto; compañero, del mismo grupo|o;o
refuse|negarse a, rechazar|v
claim|afirmar, sostener; reclamar como propio|v;v
character|carácter, forma de ser; personaje de una historia; carácter, letra o signo|o;o;o
opportunity|oportunidad|o
apologize|disculparse, pedir perdón|v
pregnant|embarazada|o
recognize|reconocer; reconocer oficialmente|v;v
local|local, de la zona|o
fan|fan, admirador; ventilador|o;o
loud|ruidoso, fuerte; chillón, llamativo|o;o
discover|descubrir|v
silly|tonto, bobo|o
tooth|diente|o
neck|cuello|o
bathroom|baño|o
speed|velocidad; ir con exceso de velocidad|o;v
breakfast|desayuno|o
deliver|entregar (mercancía); pronunciar (un discurso); atender un parto|v;v;v
blind|ciego; persiana|o;o
above|arriba de, por encima de|o
hiding|escondiéndose, oculto|o
focus|concentrarse en; el centro de atención|v;o
assume|dar por sentado, suponer; asumir, hacerse cargo de|v;v
fresh|fresco, recién hecho o cortado; fresco, limpio y frío|o;o
applause|aplausos|o
however|pero, sin embargo; de cualquier manera que|o;o
lift|levantar, alzar; elevador (británico); aventón en el carro de alguien|v;o;o
extra|extra, de más; extra, actor de fondo|o;o
stole|robó, pasado de steal|o
restaurant|restaurante|o
devil|demonio, espíritu maligno; the Devil: Satanás|o;n
skin|piel|o
cousin|primo, prima|o
unit|unidad, parte de un conjunto; unidad de medida|o;o
cup|taza|o
beach|playa|o
excited|emocionado, entusiasmado|o
van|camioneta, furgoneta|o
hall|salón grande para reuniones; pasillo, vestíbulo|o;o
introduce|presentar (a alguien); introducir por primera vez|v;v
itself|(reflexivo de it) sí mismo|o
acting|actuando, haciendo un papel; interino, que ocupa un puesto temporalmente|o;o
divorce|divorcio; divorciarse|o;v
beauty|belleza, hermosura|o
shock|impacto, sorpresa fuerte; impactar, conmocionar|o;v
event|suceso, acontecimiento; evento organizado|o;o
shame|vergüenza; lástima, pena|o;o
program|programa de actividades; programa de computadora; programa de televisión|o;o;o
following|siguiente, que viene después|o
cake|pastel, torta|o
project|proyecto, trabajo planeado; proyectar, lanzar hacia adelante|o;v
bottom|la parte de abajo, el fondo; trasero|o;o
closer|más cerca|o
damage|daño; dañar|o;v
shooting|disparos, tiroteo; homicidio a balazos|o;o
bite|morder|v
approach|acercarse a; enfoque, manera de abordar algo|v;o
interview|entrevista; entrevistar|o;v
nature|la naturaleza; carácter, forma de ser|o;o
apparently|al parecer, por lo visto|o
coach|entrenador; autobús de larga distancia; entrenar|o;o;v
chatter|(sonido de mucha gente hablando a la vez); parlotear, hablar de cosas sin importancia|g;v
view|vista, lo que se ve desde un lugar; opinión, punto de vista|o;o
pound|libra (moneda británica); libra, medida de 454 g; golpear con fuerza una y otra vez|o;o;v
grace|gracia, elegancia al moverse; bondad dada sin esperar nada; oración antes de comer|o;o;o
fake|falso, no auténtico; falsificar|o;v
trial|juicio; prueba de cómo funciona algo|o;o
nurse|enfermero; cuidar, atender|o;v
mommy|mami (palabra de niño, americano)|o
