# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
darling|sayang (panggilan untuk orang tercinta)|o
share|membagi dengan orang lain; bagian, jatah; saham|v;o;o
reach|tiba di, sampai di; menjangkau, meraih|v;v
burn|terbakar, membakar|v
leg|kaki, tungkai|o
forgive|memaafkan, mengampuni|v
worth|senilai, seharga; layak, pantas|o;o
pain|rasa sakit, nyeri|o
message|pesan|o
swear|bersumpah; mengumpat, berkata kasar|v;v
visit|mengunjungi, menjenguk|v
build|membangun, merakit|v
fish|ikan; memancing, menangkap ikan|o;v
american|Amerika, dari Amerika Serikat; orang Amerika|o;o
weird|aneh, ganjil (bikin tidak nyaman)|o
destroy|menghancurkan, merusak sama sekali|v
bill|tagihan; uang kertas; rancangan undang-undang|o;o;o
mouth|mulut|o
notice|menyadari, memperhatikan; pengumuman tertulis|v;o
wedding|pernikahan (upacaranya)|o
court|pengadilan; istana, lingkungan raja; mendekati, menggaet|o;o;v
none|tidak ada satu pun|o
amazing|menakjubkan, mengagumkan|o
general|umum, menyeluruh (tidak rinci); jenderal|o;o
chief|pemimpin, kepala; utama, terpenting|o;o
dark|gelap; tua (warnanya); suram|o;o;o
strange|aneh, tidak biasa; asing, tidak dikenal|o;o
station|stasiun (kereta); markas polisi, stasiun penyiaran|o;o
goodbye|selamat tinggal, sampai jumpa (diucapkan saat berpisah)|g
fear|rasa takut; takut akan|o;v
near|dekat, tidak jauh|o
kick|menendang|v
wall|dinding, tembok; penghalang|o;o
brain|otak; kecerdasan|o;o
arrive|tiba, sampai|v
handle|menangani, mengatasi; pegangan, gagang|v;o
shop|toko; berbelanja|o;v
bar|bar (tempat minum); batang logam; menghalangi|o;o;v
happening|sedang terjadi, berlangsung|o
prove|membuktikan|v
study|mempelajari, belajar; ruang kerja|v;o
busy|sibuk; terpakai, tidak kosong|o;o
'am|(dalam ma'am) nyonya|o
crime|kejahatan, tindak pidana|o
animal|hewan, binatang|o
tired|lelah, capek; tired of: bosan dengan|o;n
bastard|(hinaan) laki-laki brengsek; anak di luar nikah|o;o
service|pelayanan; kebaktian, ibadah; dinas militer|o;o;o
judge|hakim; menilai, menghakimi|o;v
thousand|1.000|o
ground|tanah, permukaan bumi; alasan, dasar|o;o
blue|biru|o
mile|mil, satuan jarak 1,6 km|o
group|kelompok, rombongan|o
search|mencari dengan teliti; pencarian|v;o
eh|(meminta persetujuan atau pengulangan)|g
hotel|hotel, penginapan berbayar|o
deep|dalam; sulit dipahami, mendalam|o;o
idiot|orang tolol, orang yang bertindak tanpa akal|o
short|pendek; singkat, sebentar; shorts: celana pendek|o;o;n
jump|melompat|v
table|meja; tabel, daftar angka|o;o
buddy|teman, kawan (informal)|o
birthday|hari ulang tahun|o
during|selama, sewaktu|o
weapon|senjata|o
camera|kamera|o
evidence|bukti|o
club|klub, perkumpulan; kelab malam; pentungan|o;o;o
honor|kehormatan, nama baik; menghormati|o;v
seat|tempat duduk, kursi|o
agent|agen, wakil; petugas pemerintah|o;o
tree|pohon|o
tv|televisi, TV|o
create|menciptakan, membuat|v
completely|sepenuhnya, sama sekali|o
security|keamanan; satpam, penjaga|o;o
totally|sepenuhnya, benar-benar (informal)|o
area|daerah, kawasan; luas|o;o
treat|memperlakukan; mengobati; suguhan, traktiran|v;v;o
bank|bank; tepi sungai|o;o
floor|lantai; lantai, tingkat bangunan|o;o
born|lahir, dilahirkan|o
information|informasi, keterangan|o
situation|situasi, keadaan|o
instead|sebagai gantinya, malah|o
definitely|pasti, tanpa ragu|o
victim|korban|o
certainly|pasti, tentu; (sebagai jawaban) tentu saja|o;o
prepare|menyiapkan, bersiap|v
smart|pintar, cerdas; rapi, necis|o;o
christmas|Natal, perayaan Kristen 25 Desember|o
raise|mengangkat, menaikkan; membesarkan anak; kenaikan gaji|v;v;o
unless|kecuali kalau|o
seven|7|o
clothes|pakaian, baju|o
respect|hormat, penghargaan; menghormati|o;v
smoke|asap; merokok|o;v
escape|melarikan diri, lolos|v
window|jendela|o
hasn|(dalam hasn't) tidak punya, belum|f3s
boat|perahu, kapal kecil|o
cook|memasak; juru masak, koki|v;o
waste|memboroskan, menyia-nyiakan; sampah|v;o
bother|mengganggu, merepotkan; repot-repot|v;v
soul|jiwa, roh; orang|o;o
history|sejarah (ilmunya); masa lalu|o;o
trip|perjalanan; tersandung|o;v
cell|sel penjara; sel, satuan terkecil makhluk hidup; ponsel|o;o;o
terrible|sangat buruk, mengerikan|o
army|angkatan darat, tentara|o
simple|mudah, gampang; sederhana, polos|o;o
hundred|100|o
relax|santai, beristirahat|v
guard|penjaga, pengawal; menjaga|o;v
except|kecuali, selain|o
detective|detektif, polisi penyidik|o
broke|broke, bentuk lampau dari break; bokek, tidak punya uang|o;o
lovely|indah, cantik, menyenangkan|o
seriously|dengan serius; sungguh, benar-benar|o;o
forever|selamanya, terus-menerus|o
entire|seluruh, utuh|o
space|ruang, celah; angkasa, luar angkasa|o;o
mention|menyebut sekilas, menyinggung|v
gasp|tersentak menarik napas (karena kaget)|v
track|jalur, lintasan; lagu dalam rekaman; melacak|o;o;v
across|menyeberangi, di seberang|o
patient|pasien; sabar|o;o
marriage|pernikahan, kehidupan suami istri; upacara nikah|o;o
fair|adil, wajar; terang, pirang; pasar malam|o;o;o
single|hanya satu, tunggal; lajang, belum menikah|o;o
list|daftar|o
experience|pengalaman; mengalami|o;v
bird|burung|o
middle|tengah, bagian tengah|o
rich|kaya; gurih, pekat|o;o
accident|kecelakaan; kebetulan|o;o
lay|meletakkan, membaringkan; lay, bentuk lampau dari lie|v;o
scene|tempat kejadian; adegan|o;o
sun|matahari|o
machine|mesin|o
anywhere|di mana saja, ke mana saja|o
dangerous|berbahaya|o
attention|perhatian; pengamatan, notis|o;o
dare|berani; menantang|v;v
sea|laut|o
contact|menghubungi; hubungan, kontak|v;o
killer|pembunuh|o
grab|menyambar, merenggut|v
groan|mengerang, merintih|v
witness|saksi; menyaksikan|o;v
relationship|hubungan; hubungan asmara|o;o
sitting|sedang duduk|o
radio|radio (alatnya); siaran radio|o;o
decision|keputusan|o
remain|tetap tinggal, tersisa|v
lunch|makan siang|o
field|ladang, lapangan; bidang ilmu|o;o
smile|tersenyum|v
peace|perdamaian; ketenangan|o;o
cat|kucing|o
government|pemerintah|o
art|seni; keahlian, kepandaian|o;o
gift|hadiah; bakat|o;o
normal|normal, biasa|o
tough|sulit, berat; kuat, tahan banting|o;o
enemy|musuh|o
memory|ingatan, daya ingat; kenangan|o;o
concern|kekhawatiran; menyangkut, melibatkan|o;v
travel|bepergian, berkelana|v
teacher|guru|o
position|letak, posisi; jabatan; pendirian, sikap|o;o;o
lawyer|pengacara|o
prison|penjara|o
partner|rekan kerja; pasangan hidup|o;o
major|lebih besar, lebih penting; mayor (pangkat tentara)|o;o
belong|milik, kepunyaan; berada di tempat yang tepat|v;v
soldier|prajurit, tentara|o
quickly|dengan cepat, dalam waktu singkat|o
doubt|meragukan; keraguan|v;o
student|pelajar, mahasiswa|o
forward|ke depan, maju|o
gold|emas|o
eight|8|o
fell|fell, bentuk lampau dari fall|o
store|toko; menyimpan|o;v
tear|air mata; merobek, mencabik|o;v
girlfriend|pacar perempuan|o
ice|es|o
shoe|sepatu|o
certain|yakin, pasti; tertentu (tanpa disebut namanya)|o;o
killing|pembunuhan|o
ruin|merusak sama sekali; reruntuhan|v;o
form|bentuk, wujud; formulir; membentuk, terbentuk|o;o;v
afternoon|siang, sore|o
personal|pribadi, milik satu orang|o
difficult|sulit, sukar|o
proud|bangga|o
shout|berteriak, berseru keras|v
church|gereja|o
tea|teh|o
slow|lambat, pelan|o
deserve|pantas mendapat, layak menerima|v
whether|apakah, entah|o
pant|terengah-engah; pants: celana panjang (AS), celana dalam (Inggris)|v;n
support|menopang, menyangga; mendukung, membantu|v;v
public|terbuka untuk umum; masyarakat, khalayak|o;o
base|dasar, alas; pangkalan militer|o;o
angry|marah|o
file|berkas, arsip; mengarsipkan; kikir|o;v;o
bear|beruang; membawa, menanggung|o;v
sad|sedih|o
cross|menyeberang, melintasi; kesal, jengkel; salib, tanda silang|v;o;o
match|pertandingan; korek api; setara dengan, cocok dengan|o;o;v
suit|setelan jas; cocok untuk, pas bagi; perkara di pengadilan|o;v;o
owe|berutang, harus membayar|v
risk|risiko, kemungkinan buruk; mempertaruhkan|o;v
tie|dasi; mengikat; hasil seri|o;v;o
spot|bintik, noda; tempat; melihat, memergoki|o;o;v
note|catatan singkat; nada; memperhatikan, mencatat|o;o;v
taste|rasa; mencicipi, merasakan; selera|o;v;o
suspect|tersangka; menduga, mencurigai|o;v
queen|ratu; permaisuri|o;o
plane|pesawat terbang; bidang datar|o;o
sake|(for the sake of) demi, untuk kepentingan|o
mm|(bunyi setuju atau berpikir)|g
standing|sedang berdiri|o
island|pulau|o
quit|berhenti, keluar dari pekerjaan|v
appreciate|berterima kasih atas, menghargai; menyadari nilainya|v;v
flower|bunga|o
dollar|dolar, mata uang Amerika|o
upset|sedih dan gelisah, kesal; menjungkirkan, menumpahkan|o;v
blame|menyalahkan; kesalahan, tanggung jawab|v;o
mum|ibu (Inggris)|o
pop|bunyi letup; musik pop; ayah (informal); meletus|o;o;o;v
boyfriend|pacar laki-laki|o
mm-hmm|(bunyi yang berarti ya)|g
fill|mengisi, memenuhi|v
beg|memohon, mengemis; mengemis di jalan|v;v
pleasure|kesenangan, kenikmatan|o
vote|memilih dalam pemilu; suara, pilihan|v;o
third|ke-3|o
truck|truk|o
invite|mengundang, mengajak|v
honest|jujur, tidak curang|o
computer|komputer|o
draw|menggambar; menarik; hasil imbang|v;v;o
fit|pas, muat; bugar, sehat; serangan penyakit mendadak|v;o;o
apartment|apartemen, rumah petak|o
often|sering|o
serve|menghidangkan, melayani makan; bekerja untuk; berguna bagi|v;v;v
mama|ibu, mama (informal)|o
photo|foto|o
action|tindakan, perbuatan; pertempuran; aksi, gerak dalam film|o;o;o
english|Inggris, dari Inggris; bahasa Inggris|o;o
private|pribadi, bukan untuk umum; prajurit, pangkat terendah|o;o
hungry|lapar|o
heaven|surga; keadaan sangat bahagia|o;o
strike|memukul; mogok kerja|v;o
college|perguruan tinggi|o
disappear|menghilang, lenyap|v
lieutenant|letnan, perwira muda tentara atau polisi|o
press|menekan; pers, media berita|v;o
beer|bir|o
difference|perbedaan|o
client|klien, pelanggan jasa|o
cute|imut, mungil dan manis; menggemaskan|o;o
wind|angin; memutar, menggulung|o;v
village|desa, kampung|o
green|hijau|o
planet|planet|o
bloody|(Inggris, umpatan ringan) sialan; berlumuran darah|o;o
finger|jari tangan|o
i-i|(terbata-bata) I, saya|f1s
large|besar|o
lt|Lt., singkatan dari Lieutenant|o
admit|mengakui; mempersilakan masuk|v;v
appear|muncul, tampak; kelihatannya, tampaknya|v;v
especially|terutama, apalagi|o
receive|menerima, mendapat|v
board|papan; dewan pengurus; naik ke kendaraan|o;o;v
beep|bunyi bip pendek|o
french|Prancis, dari Prancis; bahasa Prancis|o;o
type|jenis, macam; mengetik|o;v
involved|ikut terlibat; rumit, berbelit|o;o
hero|pahlawan; tokoh utama|o;o
professor|guru besar, profesor|o
hole|lubang|o
impossible|mustahil, tidak mungkin|o
obviously|jelas, sudah pasti terlihat|o
bell|lonceng, bel|o
neither|tidak satu pun dari dua; dan juga tidak|o;o
enter|masuk; memasukkan data|v;v
evil|jahat, keji; kejahatan|o;o
besides|selain itu; lagi pula|o;o
jail|penjara|o
member|anggota|o
cost|biaya, harga; berharga, memakan biaya|o;v
address|alamat; berbicara kepada; menangani, mengatasi|o;v;v
spirit|jiwa, roh; hantu; semangat, keberanian|o;o;o
guest|tamu|o
release|membebaskan, melepaskan; merilis, mengumumkan|v;v
manage|berhasil melakukan; mengelola, mengepalai|v;v
stone|batu (bahannya); batu kecil|o;o
la|(suku kata nyanyian) la|o
roll|berguling, menggelinding; roti bulat kecil; daftar nama|v;o;o
rain|hujan|o
holy|suci, kudus|o
suck|mengisap; (informal) payah, jelek sekali|v;v
wine|anggur, minuman dari buah anggur|o
river|sungai|o
cash|uang tunai|o
huge|sangat besar|o
trick|tipuan, akal-akalan; menipu, mengelabui|o;v
beginning|awal, permulaan|o
mate|teman (Inggris); pasangan; kawin, mengawinkan|o;o;v
bomb|bom; mengebom|o;v
suggest|mengusulkan, menyarankan|v
driving|mengemudi, menyetir|o
congratulations|selamat (diucapkan atas kabar baik seseorang)|g
feed|memberi makan|v
german|Jerman, dari Jerman; bahasa Jerman|o;o
fail|gagal, tidak berhasil|v
price|harga|o
bottle|botol|o
bus|bus|o
survive|selamat, bertahan hidup|v
complete|lengkap, utuh; menyelesaikan|o;v
south|selatan|o
race|balapan, lomba kecepatan; ras, suku bangsa; melaju kencang|o;o;v
battle|pertempuran|o
laughter|tawa, gelak|o
mountain|gunung|o
wash|mencuci, membasuh|v
level|tingkat, taraf; rata, datar|o;o
whose|milik siapa|o
final|terakhir, penghabisan; final, pertandingan penentu|o;o
duty|kewajiban, tugas; bea, pajak barang|o;o
chicken|ayam; pengecut|o;o
pretend|berpura-pura|v
singing|menyanyi, bernyanyi|o
north|utara|o
mrs|Mrs, sebutan untuk wanita yang sudah menikah|o
engine|mesin (penggerak kendaraan)|o
madam|nyonya (sapaan sopan untuk perempuan)|o
crowd|kerumunan, orang banyak|o
favor|bantuan, kebaikan; dukungan; lebih menyukai, memihak|o;o;v
settle|menyelesaikan, mendamaikan; menetap di suatu tempat; mengendap, hinggap|v;v;v
stage|panggung; tahap, tingkat|o;o
ghost|hantu, arwah|o
exist|ada, benar-benar ada|v
summer|musim panas|o
magic|sihir, kesaktian; sulap|o;o
dirty|kotor; cabul, jorok|o;o
colonel|kolonel|o
camp|perkemahan; berkemah|o;v
yell|berteriak keras|v
holding|memegang, menggenggam|o
remind|mengingatkan|v
immediately|segera, langsung|o
fat|gemuk; lemak|o;o
moon|bulan|o
upon|di atas, atas (resmi)|o
christ|(seruan marah atau kaget); Kristus, gelar Yesus|g;o
mission|misi, tugas yang diemban|o
aunt|bibi, tante|o
block|balok, bongkahan; blok, ruas jalan antar simpang; menghalangi|o;o;v
dig|menggali|v
pack|mengemas, memasukkan ke tas; bungkus, kemasan; kawanan binatang|v;o;o
wound|luka; melukai; wound, bentuk lampau dari wind|o;v;o
suddenly|tiba-tiba, mendadak|o
kitchen|dapur|o
usually|biasanya, umumnya|o
er|(bunyi ragu-ragu)|g
color|warna; mewarnai|o;v
result|akibat, hasil; hasil ujian atau tes|o;o
crap|(vulgar) omong kosong, sampah; tinja|o;o
yo|(sapaan atau panggilan santai)|g
grand|megah, mentereng; seribu dolar (informal)|o;o
sky|langit|o
warm|hangat; ramah|o;o
piss|(vulgar) kencing; pissed off: kesal, jengkel|v;n
worst|paling buruk|o
shake|mengguncang, bergetar|v
aah|(pekik takut atau kesakitan)|g
low|rendah, dekat tanah; sedikit jumlahnya; berat, rendah nadanya|o;o;o
challenge|tantangan; menantang, mempertanyakan|o;v
video|video, rekaman gambar bergerak|o
detail|rincian, detail|o
everywhere|di mana-mana, ke mana-mana|o
practice|latihan berulang; praktik dokter atau pengacara|o;o
ow|(pekik kesakitan mendadak)|g
ear|telinga|o
yep|ya (informal)|o
gay|homoseksual, gay; (jarang dipakai) ceria|o;o
angel|malaikat; orang yang sangat baik|o;o
condition|kondisi, keadaan; syarat|o;o
shh|(meminta diam)|g
conversation|percakapan, obrolan|o
nervous|gugup, gelisah|o
themselves|(bentuk refleksif dari they) diri mereka sendiri|o
hunt|memburu; mencari-cari|v;v
hire|mempekerjakan; menyewa|v;v
discuss|membicarakan, membahas|v
leader|pemimpin|o
rose|mawar; rose, bentuk lampau dari rise|o;o
hadn|(dalam hadn't) bentuk negatif dari had|o
tape|selotip, pita perekat; rekaman; merekam|o;o;v
chase|mengejar|v
gas|gas; bensin (Amerika)|o;o
egg|telur|o
bone|tulang|o
'ii|(salah cetak dari 'll) akan|o
band|band, kelompok musik; pita, jalur|o;o
wood|kayu; hutan kecil|o;o
innocent|tidak bersalah; polos, tidak tahu apa-apa|o;o
department|departemen, bagian|o
double|dua kali lipat; melipatgandakan|o;v
accord|kesepakatan; own accord: atas kemauan sendiri|o;n
favorite|paling disukai, kesayangan; favorit, yang paling disukai|o;o
correct|benar, tanpa kesalahan; membetulkan|o;v
otherwise|kalau tidak; dalam hal lain|o;o
pray|berdoa|v
awesome|keren, hebat sekali (informal)|o
monster|monster, makhluk menakutkan; orang bengis|o;o
prince|pangeran|o
convince|meyakinkan|v
pressure|tekanan; desakan kuat|o;o
throat|tenggorokan, kerongkongan|o
add|menambahkan; menjumlahkan|v;v
nine|9|o
bury|mengubur, menguburkan|v
trap|perangkap, jebakan; menjebak, mengurung|o;v
reading|membaca|o
narrator|narator, suara yang bercerita|o
criminal|penjahat; melanggar hukum, pidana|o;o
herself|(bentuk refleksif dari she) dirinya sendiri|o
ourselves|(bentuk refleksif dari we) diri kami sendiri|o
folk|orang-orang; rakyat biasa; musik tradisional|o;o;o
nose|hidung|o
target|sasaran, target; tujuan yang ingin dicapai|o;o
driver|sopir, pengemudi|o
crash|menabrak dan rusak; bunyi keras benda pecah|v;o
plant|tanaman, tumbuhan; pabrik; menanam|o;o;v
bullet|peluru|o
energy|energi, tenaga; semangat|o;o
guilty|bersalah; merasa bersalah|o;o
bunch|ikat, tandan, sekelompok|o
empty|kosong; mengosongkan|o;v
writing|tulisan|o
danger|bahaya|o
commit|melakukan (kejahatan); mengikatkan diri, berkomitmen|v;v
west|barat|o
sergeant|sersan|o
buck|dolar (informal); rusa jantan|o;o
flight|penerbangan; pelarian|o;o
helping|menolong, membantu; porsi makanan|o;o
hat|topi|o
weekend|akhir pekan|o
include|mencakup, termasuk; memasukkan|v;v
knife|pisau|o
code|kode, aturan bersandi; sandi rahasia|o;o
upstairs|di lantai atas, ke lantai atas|o
twice|dua kali|o
heavy|berat; berat, sulit ditanggung|o;o
operation|operasi bedah; operasi, tindakan terencana; kerja mesin|o;o;o
indeed|memang, sungguh|o
wild|liar, hidup di alam; tidak terkendali|o;o
fellow|orang, pria; sesama, se-kelompok|o;o
refuse|menolak|v
claim|menyatakan, mengklaim; menuntut sebagai miliknya|v;v
character|watak, sifat; tokoh dalam cerita; huruf, aksara|o;o;o
opportunity|kesempatan, peluang|o
apologize|minta maaf|v
pregnant|hamil, mengandung|o
recognize|mengenali; mengakui secara resmi|v;v
local|setempat, lokal|o
fan|penggemar, pendukung; kipas|o;o
loud|keras, berisik; mencolok, norak|o;o
discover|menemukan, mengetahui|v
silly|konyol, bodoh-bodohan|o
tooth|gigi|o
neck|leher|o
bathroom|kamar mandi|o
speed|kecepatan; ngebut, memacu terlalu cepat|o;v
breakfast|sarapan|o
deliver|mengantar barang; menyampaikan pidato; membantu persalinan|v;v;v
blind|buta; tirai jendela|o;o
above|di atas, lebih tinggi dari|o
hiding|bersembunyi|o
focus|memusatkan perhatian; pusat perhatian, fokus|v;o
assume|menganggap tanpa bukti; mengambil alih, memikul|v;v
fresh|segar, baru dibuat; bersih dan sejuk|o;o
applause|tepuk tangan|o
however|tetapi, walau begitu; bagaimanapun caranya|o;o
lift|mengangkat; lift (Inggris); tumpangan|v;o;o
extra|tambahan, lebih dari biasa; figuran|o;o
stole|stole, bentuk lampau dari steal|o
restaurant|restoran, rumah makan|o
devil|iblis, roh jahat; the Devil: Setan|o;n
skin|kulit|o
cousin|sepupu|o
unit|satuan, bagian dari keseluruhan; satuan ukuran|o;o
cup|cangkir|o
beach|pantai|o
excited|senang bersemangat, gembira|o
van|mobil van, mobil barang beratap|o
language|bahasa; cara mengungkapkan|o;o
hall|aula, balai; lorong, ruang depan|o;o
introduce|memperkenalkan; memasukkan untuk pertama kali|v;v
itself|(bentuk refleksif dari it) dirinya sendiri|o
acting|berakting, berperan; pelaksana tugas sementara|o;o
divorce|perceraian; bercerai, menceraikan|o;v
beauty|keindahan, kecantikan|o
shock|kejutan yang mengguncang; mengguncang, membuat kaget|o;v
tight|ketat, sempit; pas-pasan, seret uangnya|o;o
event|kejadian, peristiwa; acara|o;o
shame|rasa malu; sayang sekali|o;o
program|acara, rangkaian kegiatan; program komputer; siaran, tayangan|o;o;o
following|berikutnya, yang menyusul|o
cake|kue|o
project|proyek, pekerjaan terencana; melemparkan ke depan|o;v
bottom|bagian bawah, dasar; pantat|o;o
closer|lebih dekat|o
damage|kerusakan; merusak|o;v
shooting|penembakan; pembunuhan dengan tembakan|o;o
bite|menggigit|v
approach|mendekati; pendekatan, cara menangani|v;o
interview|wawancara; mewawancarai|o;v
nature|alam, dunia tumbuhan dan hewan; watak, sifat seseorang|o;o
coach|pelatih olahraga; bus antarkota; melatih|o;o;v
chatter|(bunyi banyak orang bicara sekaligus); mengobrol cepat tentang hal remeh|g;v
view|pemandangan; pendapat, pandangan|o;o
pound|pound, mata uang Inggris; pon, satuan berat 454 g; menghantam berulang-ulang|o;o;v
grace|keanggunan gerak; kemurahan hati; doa sebelum makan|o;o;o
fake|palsu, bukan asli; memalsukan|o;v
trial|sidang pengadilan; uji coba|o;o
nurse|perawat, suster; merawat|o;v
mommy|ibu, mami (kata anak-anak, Amerika)|o
ridiculous|konyol, menggelikan|o
simply|hanya, sekadar; secara sederhana|o;o
breathe|bernapas|v
majesty|(Your Majesty) Baginda, sapaan untuk raja atau ratu|o
dry|kering; mengeringkan|o;v
crack|retak, celah sempit; retak berbunyi, memecahkan; sindiran tajam|o;v;o
sweetheart|kekasih; (sebagai sapaan) sayang|o;o
load|muatan, beban; memuat, memasukkan muatan; mengisi peluru|o;v;v
medical|medis, tentang pengobatan|v
suffer|menderita; menahan, tahan terhadap|v;v
whom|(bentuk objek dari who) siapa|g
commander|komandan|o
paint|cat; mengecat; melukis|o;v;v
famous|terkenal, tersohor|o
nut|kacang berkulit keras; mur; orang gila|o;o;o
pig|babi; orang rakus atau jorok|o;o
asleep|sedang tidur, tertidur|o
common|umum, dimiliki banyak orang; biasa, sering terjadi|o;o
sight|penglihatan; pemandangan, yang terlihat|o;o
command|perintah; memerintahkan; komando atas pasukan|o;v;o
awful|sangat buruk, mengerikan|o
princess|putri raja|o
bang|bunyi keras mendadak, dentum; memukul keras|o;v
goddamn|(vulgar) sialan, untuk penekanan|o
faith|keyakinan tanpa bukti; agama; kepercayaan|o;o;o
due|dijadwalkan tiba, jatuh tempo; terutang, harus dibayar; due to: karena|o;o;n
plenty|banyak, lebih dari cukup|o
