# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
running|correndo; funcionando; running out of: ficando sem|o;o;n
alright|tudo bem, certo (= all right)|o
million|1.000.000|o
piece|pedaço, parte; peça, uma unidade|o;o
ma|(em ma'am) senhora; mãe (informal)|o;o
scream|gritar de medo ou de dor|v
gentleman|cavalheiro|o
perfect|perfeito, sem falhas|o
beat|bater repetidamente; derrotar, vencer; ritmo|v;v;o
continue|continuar, prosseguir|v
step|passo; etapa de um processo; pisar; um degrau (the front steps: a escada da frente)|o;o;v;o
anybody|qualquer um, alguém|o
bitch|(ofensivo) mulher maldosa; cadela; reclamar|o;o;v
ass|(vulgar) bunda; idiota; jumento|o;o;o
kiss|beijar|v
shoot|atirar; filmar|v;v
special|especial, fora do comum|o
attack|atacar, agredir; ataque de uma doença|v;o
top|a parte de cima; o melhor; blusa, peça de cima|o;o;o
himself|(reflexivo de he) ele mesmo, a si mesmo|o
uncle|tio|o
sick|doente; nojento; sick of: de saco cheio de|o;o;n
poor|pobre, com pouco dinheiro; coitado, que dá pena; de má qualidade|o;o;o
perhaps|talvez, possivelmente|o
report|relatório, relato; informar oficialmente|o;v
wake|acordar, despertar; wake up: acordar|v;n
serious|sério, que não brinca; grave, severo|o;o
voice|voz|o
sense|sentido, significado; bom senso; sentido (dos cinco); perceber, notar; make sense: fazer sentido|o;o;o;v;n
red|vermelho|o
ha|(exclamação de triunfo ou escárnio)|g
scared|assustado, com medo|o
song|canção, música|o
explain|explicar, esclarecer|v
earth|a Terra, o mundo; terra, solo; what on earth / why on earth / how on earth / where on earth / who on earth: diabos (para dar ênfase)|o;o;n
past|o passado; além de, para além de|o;o
mistake|erro, engano|o
meeting|reunião, encontro marcado|o
possible|possível|o
strong|forte|o
arm|braço; armar, fornecer armas|o;v
hair|cabelo, pelo|o
cop|policial (informal)|o
master|dono, senhor; mestre, especialista; dominar, aprender a fundo|o;o;v
sweet|doce; meigo, encantador|o;o
cannot|não poder|o
hospital|hospital|o
ten|10|o
land|terra, terreno, país; aterrissar|o;v
glad|contente, feliz com algo|o
movie|filme (americano)|o
agree|concordar; aceitar, dizer que sim|v;v
hmm|(som de dúvida ou de quem está pensando)|g
air|ar; ar, aparência|o;o
cold|frio; frio, pouco amistoso; resfriado|o;o;o
charge|acusar formalmente; cobrar um preço; carregar de energia; responsabilidade, cargo|v;v;v;o
luck|sorte|o
record|registro escrito; disco de música; gravar|o;o;v
daddy|papai (palavra de criança)|o
star|estrela (do céu); estrela, artista famoso|o;o
key|chave; chave, o mais importante; tecla|o;o;o
finally|finalmente, por fim|o
hide|esconder, ocultar|v
begin|começar, iniciar|v
film|filme (britânico); filmar; camada fina|o;v;o
paper|papel; jornal; documento|o;o;o
officer|oficial, agente (da polícia ou das forças armadas)|o
clean|limpo; limpar|o;v
act|agir, fazer algo; atuar, representar um papel; ato, lei|v;v;o
dress|vestido; vestir, vestir-se|o;v
evening|fim da tarde, começo da noite|o
bet|apostar; I bet: aposto que|v;n
ship|navio; enviar mercadorias|o;v
allow|permitir, deixar|v
sex|sexo, masculino ou feminino; sexo, o ato físico|o;o
till|até; caixa registradora|o;o
known|conhecido, particípio de know|o
road|estrada, rua|o
lucky|sortudo, com sorte|o
age|idade; época, era|o;o
letter|carta; letra|o;o
rather|em vez disso, de preferência; bastante, meio; rather than: em vez de; would rather: preferir|o;o;n;n
steal|roubar|v
felt|sentiu, passado de feel; feltro; felt like: tinha vontade de, parecia|o;o;n
grunt|grunhir, fazer um som grave|v
protect|proteger, resguardar|v
cover|cobrir, tapar; cobrir, abranger; proteção, abrigo|v;v;o
join|juntar-se a; tornar-se membro de|v;v
sing|cantar|v
ball|bola; baile formal|o;o
quiet|quieto, silencioso; calmo, pouco movimentado|o;o
law|lei; a polícia|o;o
count|contar (números); contar, ter importância; count on: contar com|v;v;n
somewhere|em algum lugar, para algum lugar|o
train|trem; treinar, capacitar|o;v
enjoy|gostar de, aproveitar|v
knock|bater, bater na porta|v
coffee|café|o
test|prova, teste; testar, pôr à prova|o;v
fool|bobo, tolo; enganar|o;v
calling|ligando (por telefone); chamando aos gritos|o;o
choose|escolher|v
horse|cavalo|o
lock|trancar; fechadura|v;o
bag|bolsa, sacola|o
less|menos|o
teach|ensinar|v
fix|consertar; arranjar, organizar; fixar, prender|v;v;v
careful|cuidadoso, com cuidado|o
rock|rocha, pedra grande; rock (música); balançar|o;o;v
fault|culpa; defeito, falha|o;o
rule|regra, norma; governar; rule out: descartar|o;v;n
dude|cara, sujeito (informal)|o
offer|oferecer, propor; oferta, proposta|v;o
park|estacionar; parque; car park: estacionamento|v;o;n
weren|(em weren't) forma negativa de were|o
given|dado, particípio de give; given up: desistido; given that: dado que|o;n;n
realize|dar-se conta de, perceber|v
future|o futuro|o
quick|rápido, breve|o
straight|direto, na hora; reto, não torto; honesto|o;o;o
ooh|(exclamação de surpresa ou prazer)|g
class|turma, grupo de alunos; aula; classe social; classe, qualidade|o;o;o;o
mark|marca, mancha; dar nota a; assinalar o lugar de|o;v;v
choice|escolha, o ato de escolher; opção disponível|o;o
arrest|prender, deter|v
card|cartão (para mensagens, jogos ou pagamentos)|o
imagine|imaginar; supor|v;v
system|sistema|o
wonderful|maravilhoso, ótimo|o
mad|bravo, com raiva; louco|o;o
push|empurrar; pressionar, insistir|v;v
absolutely|absolutamente, completamente; (como resposta) com certeza|o;o
ride|andar, viajar (a cavalo ou de veículo); passeio, viagem|v;o
drug|remédio; droga ilegal|o;o
present|presente, atual; presente, prenda; apresentar, mostrar; presente, que comparece|o;o;v;o
smell|cheirar, sentir o cheiro; cheiro; cheirar (it smells good: tem um cheiro bom)|v;o;v
building|prédio, edifício|o
yesterday|ontem|o
box|caixa; boxear|o;v
president|presidente|o
darling|querido, amor (tratamento afetuoso)|o
share|dividir, compartilhar; parte, porção; ação (de uma empresa)|v;o;o
reach|chegar a; alcançar, estender a mão para|v;v
burn|queimar, arder|v
leg|perna|o
forgive|perdoar|v
worth|que vale; digno de|o;o
pain|dor|o
message|mensagem, recado|o
swear|jurar solenemente; xingar, falar palavrão|v;v
visit|visitar|v
build|construir|v
fish|peixe; pescar|o;v
american|americano, dos Estados Unidos; americano, pessoa dos Estados Unidos|o;o
weird|estranho, esquisito de dar arrepio|o
destroy|destruir por completo|v
bill|conta, valor a pagar; nota de dinheiro; projeto de lei|o;o;o
mouth|boca|o
notice|notar, perceber; aviso escrito|v;o
wedding|casamento, cerimônia|o
court|tribunal; corte real; cortejar|o;o;v
none|nenhum, nada|o
amazing|incrível, impressionante|o
general|geral, que abrange todos; general (militar de alta patente)|o;o
chief|chefe, líder; principal, mais importante|o;o
dark|escuro, sem luz; escuro (de cor); sombrio|o;o;o
strange|estranho, pouco comum; desconhecido|o;o
station|estação (de trem); delegacia, emissora; gas station / petrol station: posto de gasolina|o;o;n
goodbye|adeus, tchau (ao se despedir)|g
fear|medo, temor; temer, ter medo de|o;v
near|perto de, a pouca distância|o
kick|chutar, dar um chute|v
wall|parede, muro; barreira|o;o
brain|cérebro; inteligência|o;o
arrive|chegar|v
handle|lidar com, dar conta de; cabo, alça|v;o
shop|loja; fazer compras|o;v
bar|bar; barra de metal; bloquear, impedir|o;o;v
happening|acontecendo, em andamento|o
prove|provar, demonstrar|v
study|estudar; escritório, sala de trabalho; um estudo, uma pesquisa|v;o;o
busy|ocupado, com muito a fazer; ocupado, em uso|o;o
'am|(em ma'am) senhora|o
crime|crime, delito|o
animal|animal|o
tired|cansado; tired of: cheio de, farto de|o;n
bastard|(insulto) sujeito desagradável, canalha; filho de pais não casados|o;o
service|atendimento (aos clientes); culto religioso; as forças armadas|o;o;o
judge|juiz; julgar, opinar sobre|o;v
thousand|1.000|o
ground|chão, solo; base, fundamento|o;o
blue|azul|o
mile|milha, medida de 1,6 km|o
group|grupo|o
search|procurar com atenção; busca|v;o
eh|né? (pedindo concordância ou que repitam)|g
accept|aceitar, admitir|v
hotel|hotel|o
deep|fundo, profundo; profundo, difícil de entender; profundo, intenso (deep love: amor profundo)|o;o;o
idiot|idiota, bobo|o
short|curto, baixo; breve, de pouca duração; shorts: bermuda, short; in short: em suma; short of: com falta de|o;o;n;n;n
jump|pular, saltar|v
table|mesa; tabela, quadro de números|o;o
buddy|amigo, parceiro (informal)|o
birthday|aniversário|o
during|durante|o
weapon|arma|o
camera|câmera|o
evidence|provas, evidências|o
club|clube (grupo com um interesse); boate, casa noturna; porrete, cacete|o;o;o
honor|honra, bom nome; honrar|o;v
seat|assento|o
agent|agente, representante; agente do governo|o;o
tree|árvore|o
tv|televisão|o
create|criar|v
completely|completamente, totalmente|o
security|segurança, proteção; os seguranças|o;o
totally|totalmente, absolutamente (informal)|o
area|área, região; área, superfície|o;o
treat|tratar (alguém); tratar, dar tratamento médico; um agrado, algo especial|v;v;o
bank|banco; margem de um rio|o;o
floor|chão, piso; andar de um prédio|o;o
born|nascido|o
information|informação, dados|o
situation|situação|o
instead|em vez disso; instead of: em vez de|o;n
definitely|sem dúvida, com certeza|o
victim|vítima|o
certainly|certamente, sem dúvida; (como resposta) claro|o;o
prepare|preparar, aprontar-se|v
smart|esperto, inteligente; arrumado, de boa aparência|o;o
christmas|Natal, festa cristã de 25 de dezembro|o
raise|levantar, erguer; criar (um filho); aumento de salário; aumentar (preços, um nível); arrecadar (dinheiro); levantar (uma questão, uma preocupação)|v;v;o;v;v;v
unless|a menos que|o
seven|7|o
clothes|roupa|o
respect|respeito; respeitar|o;v
smoke|fumaça; fumar|o;v
escape|escapar, fugir|v
window|janela|o
hasn|(em hasn't) não tem|f3s
boat|barco, lancha|o
cook|cozinhar; cozinheiro|v;o
waste|desperdiçar, jogar fora; lixo, resíduos|v;o
bother|incomodar, aborrecer; dar-se ao trabalho de|v;v
soul|alma, espírito; pessoa|o;o
history|história (estudo do passado); o próprio passado|o;o
trip|viagem; tropeçar e cair|o;v
cell|cela de prisão; célula; celular|o;o;o
terrible|terrível, péssimo|o
army|exército|o
simple|fácil, simples; simples, sem complicação|o;o
hundred|100|o
relax|relaxar, descansar|v
guard|guarda, vigia; proteger, vigiar|o;v
except|exceto, salvo|o
detective|detetive|o
broke|quebrou, passado de break; duro, sem dinheiro; broke down: quebrou, foi abaixo; broke up: terminou, despedaçou-se; broke out: estourou, fugiu; broke into: arrombou, desatou a|o;o;n;n;n;n
lovely|lindo, muito agradável|o
seriously|a sério, com seriedade; de verdade, realmente|o;o
forever|para sempre|o
entire|inteiro, completo|o
space|espaço, vão; o espaço (além da Terra)|o;o
mention|mencionar, referir-se a; not to mention: sem falar de|v;n
gasp|ficar sem ar, respirar fundo de susto|v
track|trilha, pista; faixa, música gravada; rastrear, seguir; keep track of: acompanhar, manter o controle de; rastros, pegadas; trilhos (de trem)|o;o;v;n;o;o
across|do outro lado de, de um lado a outro|o
patient|paciente (que recebe atendimento médico); paciente, que sabe esperar|o;o
marriage|casamento, vida de casados; casamento, cerimônia|o;o
fair|justo, razoável; claro, louro; parque de diversões|o;o;o
single|um só, único; solteiro|o;o
list|lista|o
experience|experiência, o que já se viveu; vivenciar, passar por|o;v
bird|pássaro, ave|o
middle|o meio, o centro|o
rich|rico, com muito dinheiro; encorpado, de sabor forte|o;o
accident|acidente; acaso, casualidade|o;o
lay|pôr deitado, deitar; deitou-se, passado de lie; lay off: demitir, deixar em paz; lay out: dispor, estender, expor|v;o;n;n
scene|cena, local dos fatos; cena de uma peça ou filme|o;o
sun|o Sol|o
machine|máquina|o
anywhere|em qualquer lugar, para qualquer lugar|o
dangerous|perigoso|o
attention|atenção (ao olhar ou escutar); atenção, interesse; pay attention: prestar atenção|o;o;n
dare|atrever-se a, ousar; desafiar|v;v
sea|mar|o
contact|entrar em contato com; contato entre pessoas|v;o
killer|assassino|o
grab|agarrar de repente|v
groan|gemer, resmungar com som grave|v
witness|testemunha; presenciar, ver acontecer|o;v
relationship|relação entre duas pessoas; namoro, romance|o;o
sitting|sentado|o
radio|rádio (aparelho); rádio, transmissão por ondas|o;o
decision|decisão|o
remain|ficar, permanecer|v
lunch|almoço|o
field|campo (de plantio ou de esporte); área de estudo|o;o
smile|sorrir|v
peace|paz (sem guerra); calma, tranquilidade|o;o
cat|gato|o
government|governo|o
art|arte; habilidade, técnica|o;o
gift|presente; dom, talento natural|o;o
normal|normal, como se espera|o
tough|difícil de fazer; forte, resistente|o;o
enemy|inimigo|o
memory|memória (a capacidade); uma lembrança|o;o
concern|preocupação; dizer respeito a, envolver|o;v
travel|viajar|v
teacher|professor|o
position|posição, lugar; cargo, emprego; posicionamento, opinião|o;o;o
lawyer|advogado|o
prison|prisão, cadeia|o
partner|sócio, colega de trabalho; companheiro, parceiro|o;o
major|maior, mais importante; major (militar acima de capitão)|o;o
belong|pertencer a; estar no lugar certo|v;v
soldier|soldado|o
quickly|rápido, em pouco tempo|o
doubt|duvidar de; dúvida; no doubt: sem dúvida|v;o;n
student|estudante|o
forward|para a frente, adiante|o
gold|ouro|o
eight|8|o
fell|caiu, passado de fall; fell asleep: adormeceu; fell in love: apaixonou-se; fell apart: desmoronou; fell for: apaixonou-se por, caiu em|o;n;n;n;n
store|loja; armazenar, guardar|o;v
tear|lágrima; rasgar, romper|o;v
girlfriend|namorada|o
ice|gelo|o
shoe|sapato|o
certain|certo, sem dúvida; certo, um em particular sem nomear|o;o
killing|assassinato, o ato de matar|o
ruin|arruinar, estragar de vez; ruínas de um prédio|v;o
form|forma; formulário; formar, tomar forma|o;o;v
afternoon|a tarde|o
personal|pessoal, particular|o
difficult|difícil|o
proud|orgulhoso|o
shout|gritar|v
church|igreja|o
tea|chá|o
slow|lento, devagar|o
deserve|merecer|v
whether|se (em qualquer dos casos)|o
pant|ofegar, respirar ofegante; pants: calça (EUA), cueca, calcinha (Reino Unido)|v;n
public|público, aberto a todos; o público, as pessoas|o;o
base|base, parte de baixo; base militar; based in / based on: sediado em, baseado em|o;o;n
angry|bravo, com raiva|o
file|arquivo, pasta de papéis ou dados; arquivar; lixa (ferramenta)|o;v;o
bear|urso; carregar, suportar|o;v
sad|triste|o
cross|atravessar, cruzar; irritado, aborrecido; cruz|v;o;o
match|partida entre dois lados; fósforo; combinar com, ser igual a|o;o;v
suit|terno; cair bem em, servir a; processo judicial|o;v;o
owe|dever (dinheiro)|v
risk|risco; arriscar, pôr em perigo|o;v
tie|gravata; amarrar com corda; empate|o;v;o
spot|mancha, pinta; lugar, ponto; avistar, notar|o;o;v
note|bilhete, recado curto; nota musical; notar, observar|o;o;v
taste|sabor, gosto; provar, sentir o sabor; bom gosto|o;v;o
suspect|suspeito; suspeitar, desconfiar de|o;v
queen|rainha; esposa do rei|o;o
plane|avião; plano, superfície plana|o;o
sake|(for the sake of) pelo bem de, por|o
mm|(som de concordância ou de quem pensa)|g
standing|de pé, em pé|o
island|ilha|o
quit|parar de fazer, largar o emprego|v
appreciate|agradecer, ser grato por; valorizar|v;v
flower|flor|o
dollar|dólar|o
upset|chateado e preocupado; derrubar, virar|o;v
blame|culpar, pôr a culpa em; a culpa|v;o
mum|mãe (britânico)|o
pop|estalo curto; música pop; pai (informal); estourar|o;o;o;v
boyfriend|namorado|o
mm-hmm|(som que significa sim)|g
fill|encher; fill in: preencher, substituir; fill out: preencher|v;n;n
within|dentro de, antes do fim de|o
beg|implorar, suplicar; pedir esmola|v;v
pleasure|prazer, gosto|o
vote|votar; voto|v;o
third|3º|o
truck|caminhão|o
invite|convidar|v
honest|honesto, sincero|o
computer|computador|o
draw|desenhar; puxar; empate|v;v;o
fit|servir, ter o tamanho certo; em forma, saudável; ataque súbito de uma doença|v;o;o
apartment|apartamento|o
often|muitas vezes, com frequência|o
serve|servir (comida); trabalhar para; servir para, ser útil a|v;v;v
mama|mãe, mamãe (informal)|o
photo|foto|o
action|ação, o fato de agir; combate; ação num filme|o;o;o
english|inglês, da Inglaterra; o idioma inglês|o;o
private|particular, não público; soldado raso|o;o
hungry|com fome|o
heaven|o céu, morada de Deus; paraíso, grande felicidade|o;o
strike|golpear, bater; greve, paralisação|v;o
college|faculdade, estudos depois da escola|o
disappear|sumir, desaparecer|v
lieutenant|tenente (oficial subalterno do exército ou da polícia)|o
press|apertar, pressionar; a imprensa|v;o
beer|cerveja|o
difference|diferença|o
client|cliente (que paga por um serviço)|o
cute|bonitinho, fofo; meigo|o;o
wind|vento; enrolar, dar corda em; wind up: terminar, acabar, provocar|o;v;n
village|vilarejo, aldeia|o
green|verde|o
planet|planeta|o
bloody|(britânico, palavrão leve) maldito; ensanguentado|o;o
finger|dedo da mão|o
i-i|(gaguejando) eu|f1s
